
MMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-1-26,32,22,16,19,17,14,86,63,36,1015,1013,1010,8,6,5,2,0,,0.00,,,-1<br />
2014-1-27,32,24,17,19,18,16,90,58,34,1015,1013,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-28,33,26,18,19,18,16,81,54,29,1015,1012,1010,8,6,5,2,0,,0.00,,,-1<br />
2014-1-29,31,23,17,18,17,12,85,56,23,1016,1014,1012,8,6,5,3,0,,0.00,,,-1<br />
2014-1-30,32,23,15,18,16,12,86,54,22,1016,1014,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-1-31,32,22,14,18,14,12,87,52,22,1017,1014,1013,8,7,5,2,0,,0.00,,,-1<br />
2014-2-1,32,23,14,17,15,13,87,52,24,1015,1013,1011,8,6,5,2,0,,0.00,,,-1<br />
2014-2-2,32,26,20,18,15,13,65,42,23,1014,1012,1008,8,7,5,2,2,,0.00,,,-1<br />
2014-2-3,32,23,15,18,16,13,83,52,23,1011,1009,1006,8,6,5,2,0,,0.00,,,-1<br />
2014-2-4,33,24,15,18,15,14,86,54,24,1009,1007,1004,8,7,6,2,0,,0.00,,,-1<br />
2014-2-5,34,26,17,19,17,14,77,50,26,1008,1006,1004,8,6,5,2,0,,0.00,,,-1<br />
2014-2-6,33,25,17,18,17,14,77,51,29,1010,1007,1005,8,7,5,2,0,,0.00,,,-1<br />
2014-2-7,33,22,13,19,17,15,85,53,28,1010,1007,1005,8,7,5,2,0,,0.00,,,-1<br />
2014-2-8,34,26,17,17,16,14,73,46,21,1009,1007,1006,8,7,5,2,0,,0.00,,,-1<br />
2014-2-9,32,24,17,26,17,13,86,54,20,1010,1007,1005,8,6,5,2,0,,0.00,,,-1<br />
2014-2-10,33,23,14,18,15,13,93,51,29,1011,1008,1007,8,7,5,3,2,,0.00,,,-1<br />
2014-2-11,34,26,17,19,16,14,73,46,21,1010,1007,1005,8,7,5,2,0,,0.00,,,-1<br />
2014-2-12,34,26,18,18,17,15,77,47,25,1009,1007,1006,8,6,5,3,2,,0.00,,,-1<br />
2014-2-13,32,26,19,19,17,14,75,49,23,1013,1010,1009,8,7,5,2,0,,0.00,,,-1<br />
2014-2-14,32,24,16,18,16,13,76,49,27,1014,1011,1009,8,7,5,3,0,,0.00,,,-1<br />
2014-2-15,35,27,18,18,17,16,77,49,22,1013,1010,1007,8,6,5,2,0,,0.00,,,-1<br />
2014-2-16,35,25,18,19,17,16,77,51,28,1011,1009,1008,8,7,5,8,2,,0.00,,,-1<br />
2014-2-17,23,22,18,18,17,16,100,73,58,1014,1012,1010,6,5,3,3,2,,0.00,8,Rain,-1<br />
2014-2-18,25,21,17,19,18,16,90,79,57,1015,1013,1011,8,6,5,3,2,,0.00,8,Rain,-1<br />
2014-2-19,29,21,14,16,14,13,91,60,30,1015,1013,1010,8,7,5,2,0,,0.00,,,-1<br />
2014-2-20,32,23,15,18,16,14,86,55,29,1015,1012,1010,10,8,5,2,0,,0.00,,,-1<br />
2014-2-21,34,26,17,19,17,14,77,50,24,1015,1012,1010,8,7,5,2,0,,0.00,,,-1<br />
2014-2-22,35,27,19,19,18,16,76,48,22,1016,1013,1011,8,7,5,3,2,,0.00,,,-1<br />
2014-2-23,35,26,17,18,16,14,77,46,23,1015,1013,1010,8,7,5,3,2,,0.00,,,-1<br />
2014-2-24,35,27,19,19,17,15,65,43,22,1015,1013,1010,8,7,5,3,0,,0.00,,,-1<br />
2014-2-25,36,27,19,20,17,16,68,44,25,1014,1012,1010,8,7,5,2,0,,0.00,,,-1<br />
2014-2-26,37,28,19,18,17,15,76,42,21,1014,1011,1008,8,7,5,3,2,,0.00,,,-1<br />
2014-2-27,37,28,19,19,16,15,68,40,22,1013,1010,1008,8,7,5,2,0,,0.00,,,-1<br />
2014-2-28,37,28,19,19,16,14,65,43,18,1013,1010,1008,8,7,5,2,0,,0.00,,,-1<br />
2014-3-1,37,28,21,20,17,15,65,39,22,1013,1010,1007,8,7,6,2,0,,0.00,,,-1<br />
2014-3-2,37,28,20,20,17,15,65,38,24,1012,1010,1007,8,7,5,3,2,,0.00,,,-1<br />
2014-3-3,37,29,20,21,18,16,65,43,25,1011,1009,1007,8,7,5,2,0,,0.00,,,-1<br />
2014-3-4,38,29,21,21,18,16,70,41,18,1013,1010,1008,8,7,5,3,2,,0.00,,,-1<br />
2014-3-5,37,30,24,17,16,16,53,33,21,1011,1009,1007,8,7,5,3,2,,0.00,,,-1<br />
2014-3-6,36,28,21,21,17,15,57,40,27,1012,1010,1008,8,7,5,6,2,,0.00,,,-1<br />
2014-3-7,36,27,20,19,17,16,65,46,28,1012,1010,1008,8,7,5,2,0,,0.00,,,-1<br />
2014-3-8,36,28,20,19,16,14,89,48,22,1014,1011,1009,8,7,5,2,0,,0.00,,,-1<br />
2014-3-9,36,27,19,20,17,16,80,45,21,1014,1011,1008,8,6,5,2,0,,0.00,,,-1<br />
2014-3-10,36,28,20,21,18,17,75,50,25,1013,1010,1008,8,7,5,3,0,,0.00,,,-1<br />
2014-3-11,36,30,24,22,20,17,78,47,26,1012,1010,1008,8,7,5,2,2,,0.00,,,-1<br />
2014-3-12,37,28,19,18,17,15,73,40,18,1013,1010,1007,10,7,5,3,2,,0.00,,,-1<br />
2014-3-13,36,28,20,21,19,17,75,48,26,1013,1010,1008,8,6,5,2,0,,0.00,,,-1<br />
2014-3-14,35,27,20,21,19,17,74,46,26,1012,1010,1008,8,6,5,2,0,,0.00,,,-1<br />
2014-3-15,38,29,21,24,20,18,77,48,25,1014,1011,1008,8,7,5,2,0,,0.00,,,-1<br />
2014-3-16,40,31,22,23,21,18,69,46,25,1014,1011,1007,8,7,5,3,2,,0.00,,,-1<br />
2014-3-17,41,31,21,23,21,17,66,42,28,1012,1010,1006,8,7,5,2,0,,0.00,,,-1<br />
2014-3-18,40,30,20,21,18,16,68,39,21,1011,1009,1006,8,7,5,8,2,,0.00,,,-1<br />
2014-3-19,38,29,21,24,21,17,70,49,34,1011,1008,1005,8,7,5,3,2,,0.00,,,-1<br />
2014-3-20,38,31,23,25,22,19,68,51,31,1013,1009,1007,8,7,5,2,0,,0.00,,,-1<br />
2014-3-21,37,27,21,23,21,17,66,51,41,1010,1008,1004,8,6,5,2,0,,0.00,,,-1<br />
2014-3-22,37,29,21,22,21,18,77,50,30,1009,1007,1005,8,7,5,2,0,,0.00,,,-1<br />
2014-3-23,32,26,21,21,20,17,65,56,45,1014,1010,1007,8,7,5,6,2,,0.00,,,-1<br />
2014-3-24,37,27,20,22,20,18,94,62,36,1014,1011,1004,8,7,5,3,2,,0.00,,,-1<br />
2014-3-25,38,29,21,23,21,18,77,50,34,1012,1009,1006,8,7,5,2,0,,0.00,,,-1<br />
2014-3-26,30,30,22,22,18,7,77,44,21,1011,1009,1007,8,7,5,8,2,,0.00,,,-1<br />
2014-3-27,39,30,22,24,21,18,74,48,33,1009,1007,1004,8,7,5,2,0,,0.00,,,-1<br />
2014-3-28,39,31,22,23,22,20,78,49,27,1009,1007,1004,8,6,5,3,2,,0.00,,,-1<br />
2014-3-29,41,32,24,26,23,21,73,49,32,1008,1005,1002,8,7,5,2,0,,0.00,,,-1<br />
2014-3-30,41,33,26,26,23,22,69,46,27,1008,1005,1001,8,6,5,6,2,,0.00,,,-1<br />
2014-3-31,41,34,27,26,24,24,78,49,29,1006,1004,1001,8,7,5,3,2,,0.00,,,-1<br />
2014-4-1,41,34,28,26,24,23,73,48,29,1007,1004,1001,8,6,5,6,2,,0.00,,,-1<br />
2014-4-2,38,31,25,24,23,21,69,50,36,1008,1005,1003,8,7,5,3,2,,0.00,,,-1<br />
2014-4-3,39,32,24,25,23,22,78,53,30,1010,1007,1004,8,7,5,2,0,,0.00,,,-1<br />
2014-4-4,37,30,23,24,22,19,68,52,39,1009,1007,1006,8,6,5,6,2,,0.00,,,-1<br />
2014-4-5,36,29,22,25,22,18,74,58,45,1011,1008,1006,8,7,5,2,0,,0.00,,,-1<br />
2014-4-6,34,29,26,25,23,22,69,60,53,1012,1009,1007,8,6,5,10,3,,0.00,,,-1<br />
2014-4-7,37,30,24,26,24,22,78,59,42,1011,1008,1005,8,7,5,3,2,,0.00,,,-1<br />
2014-4-8,40,33,27,25,23,21,68,48,32,1010,1007,1003,8,7,5,8,2,,0.00,,,-1<br />
2014-4-9,40,34,28,27,25,24,73,52,40,1010,1007,1003,8,7,5,3,3,,0.00,,,-1<br />
2014-4-10,38,31,24,25,24,23,87,59,34,1010,1008,1005,8,6,5,2,0,,0.00,,,-1<br />
2014-4-11,38,31,24,27,24,22,87,56,41,1010,1007,1003,8,6,5,3,2,,0.00,,,-1<br />
2014-4-12,36,29,25,25,24,22,81,60,53,1010,1008,1005,8,6,5,3,2,,0.00,,,-1<br />
2014-4-13,38,31,24,25,23,22,78,56,35,1010,1008,1005,8,7,5,2,2,,0.00,,,-1<br />
2014-4-14,39,31,23,26,24,23,86,57,37,1012,1009,1006,8,7,5,2,0,,0.00,,,-1<br />
2014-4-15,40,32,24,27,24,21,70,54,40,1010,1007,1003,8,7,5,6,2,,0.00,,,-1<br />
2014-4-16,40,34,28,26,25,24,73,48,32,1010,1007,1003,8,7,5,6,2,,0.00,,,-1<br />
2014-4-17,41,35,29,27,26,24,70,50,31,1007,1005,1002,8,7,5,3,2,,0.00,,,-1<br />
2014-4-18,41,33,24,26,26,24,73,48,34,1010,1007,1004,8,7,6,3,2,,0.00,,,-1<br />
2014-4-19,41,34,29,27,26,24,81,51,36,1008,1005,1003,8,7,5,2,0,,0.00,,,-1<br />
2014-4-20,42,34,28,27,26,24,77,50,32,1007,1004,1001,8,7,5,3,2,,0.00,,,-1<br />
2014-4-21,40,36,30,28,27,26,72,51,36,1007,1005,1003,8,6,5,3,2,,0.00,,,-1<br />
2014-4-22,42,36,31,28,26,25,65,48,32,1009,1006,1003,8,7,5,3,2,,0.00,,,-1<br />
2014-4-23,42,36,32,27,26,24,59,46,32,1009,1006,1002,8,7,5,2,2,,0.00,,,-1<br />
2014-4-24,42,37,31,28,27,26,68,50,34,1007,1004,1001,8,7,5,6,2,,0.00,,,-1<br />
2014-4-25,40,35,30,26,25,23,65,50,32,1010,1006,1003,8,7,6,6,3,,0.00,,,-1<br />
2014-4-26,39,33,27,25,24,23,70,54,36,1011,1007,1005,8,8,6,10,3,,0.00,,,-1<br />
2014-4-27,40,33,27,27,25,23,70,54,39,1011,1007,1004,8,7,5,3,2,,0.00,,,-1<br />
2014-4-28,40,34,29,27,26,24,70,55,39,1010,1007,1003,8,6,5,3,2,,0.00,,,-1<br />
2014-4-29,38,31,25,26,24,23,78,57,36,1010,1007,1003,8,8,5,8,5,,0.00,,,-1<br />
2014-4-30,38,32,27,26,24,22,78,55,32,1009,1007,1003,8,7,6,6,3,,0.00,,,-1<br />
2014-5-1,37,31,25,27,26,24,99,61,43,1008,1006,1003,8,8,8,6,2,,0.00,,,-1<br />
2014-5-2,39,32,27,28,25,23,70,55,37,1008,1006,1003,8,8,5,3,3,,0.00,,,-1<br />
2014-5-3,39,33,29,28,26,24,71,62,51,1009,1007,1004,8,6,5,8,3,,0.00,,Thunderstorm,-1<br />
2014-5-4,36,29,23,26,24,23,90,67,43,1010,1008,1004,8,6,5,3,2,,0.00,,Rain-Thunderstorm,-1<br />
2014-5-5,38,32,27,28,26,24,78,58,43,1009,1007,1006,8,8,5,3,2,,0.00,,,-1<br />
2014-5-6,38,31,26,27,24,23,78,59,44,1010,1009,1004,8,8,6,2,0,,0.00,,,-1<br />
2014-5-7,39,33,28,27,27,26,93,64,41,1009,1007,1004,8,7,5,6,2,,0.00,,,-1<br />
2014-5-8,37,31,26,27,26,24,88,65,43,1008,1006,1002,8,8,5,3,2,,0.00,,,-1<br />
2014-5-9,36,32,28,27,26,24,71,59,52,1007,1004,1002,8,8,6,10,3,,0.00,,,-1<br />
2014-5-10,39,33,24,27,25,23,100,64,41,1005,1004,1001,10,8,6,16,11,,0.00,8,Rain-Thunderstorm,-1<br />
2014-5-11,35,29,23,28,26,23,100,77,52,1009,1007,1004,10,8,6,8,2,,0.00,,Rain,-1<br />
2014-5-12,38,31,25,28,27,24,85,65,47,1009,1006,1002,10,9,6,6,3,,0.00,,,-1<br />
2014-5-13,39,33,28,29,27,25,89,64,38,1008,1006,1002,10,8,6,6,2,,0.00,,Rain,-1<br />
2014-5-14,39,32,28,29,27,23,83,60,35,1005,1003,999,10,8,6,6,3,,0.00,,,-1<br />
2014-5-15,39,33,27,27,26,23,68,59,41,1005,1002,998,8,8,6,3,3,,0.00,,Rain-Thunderstorm,-1<br />
2014-5-16,35,29,22,27,26,22,99,76,44,1006,1004,1002,8,8,5,2,2,,0.00,8,Rain,-1<br />
2014-5-17,38,32,27,28,27,25,81,62,51,1008,1006,1003,8,8,6,2,0,,0.00,,,-1<br />
2014-5-18,38,33,27,29,26,23,81,60,46,1007,1005,1002,8,8,6,3,2,,0.00,,,-1<br />
2014-5-19,36,32,29,28,27,26,70,62,51,1009,1006,1003,8,8,6,3,2,,0.00,,,-1<br />
2014-5-20,38,32,27,28,26,23,68,58,47,1007,1005,1001,10,8,6,3,3,,0.00,,,-1<br />
2014-5-21,38,33,28,28,26,25,80,58,47,1006,1004,1001,10,9,6,8,5,,0.00,,,-1<br />
2014-5-22,38,32,27,27,24,23,70,54,41,1004,1003,999,8,8,6,6,3,,0.00,,,-1<br />
2014-5-23,36,33,28,27,26,24,73,56,41,1007,1005,1002,10,8,6,3,2,,0.00,,,-1<br />
2014-5-24,39,33,28,27,26,25,73,56,43,1009,1006,1003,10,8,6,6,3,,0.00,,,-1<br />
2014-5-25,37,32,27,27,27,26,89,62,51,1011,1008,1005,10,9,6,6,2,,0.00,,,-1<br />
2014-5-26,39,34,29,28,27,27,77,57,41,1010,1007,1004,10,8,6,3,2,,0.00,,,-1<br />
2014-5-27,40,34,29,28,27,26,78,56,42,1008,1005,1002,10,8,6,6,2,,0.00,,,-1<br />
2014-5-28,40,33,29,28,26,26,73,58,47,1008,1006,1001,10,8,6,2,2,,0.00,,,-1<br />
2014-5-29,40,34,28,28,26,25,70,54,42,1007,1005,1002,10,9,6,6,3,,0.00,,,-1<br />
2014-5-30,39,33,28,26,26,25,80,58,37,1006,1003,1000,10,9,6,3,3,,0.00,8,,-1<br />
2014-5-31,40,34,28,28,26,24,70,52,38,1005,1003,1001,10,9,6,6,3,,0.00,,,-1<br />
2014-6-1,41,34,28,28,26,24,73,54,39,1006,1003,1001,10,8,6,3,3,,0.00,,,-1<br />
2014-6-2,40,34,29,28,27,26,70,54,40,1007,1004,1001,10,8,6,3,2,,0.00,,,-1<br />
2014-6-3,41,34,29,28,27,26,70,52,40,1004,1002,999,10,8,6,6,3,,0.00,,,-1<br />
2014-6-4,41,34,29,28,27,25,71,53,39,1004,1001,998,10,9,6,6,3,,0.00,,,-1<br />
2014-6-5,42,36,30,28,27,26,65,51,36,1002,999,996,10,8,6,6,3,,0.00,,Thunderstorm,-1<br />
2014-6-6,41,34,29,28,27,26,78,60,39,1003,1000,998,19,10,6,6,3,,0.00,8,Rain-Thunderstorm,-1<br />
2014-6-7,39,33,27,27,26,26,83,59,41,1002,1000,996,10,8,6,3,3,,0.00,,,-1<br />
2014-6-8,38,32,28,27,26,25,73,57,43,1002,1000,998,10,9,6,6,5,,0.00,,,-1<br />
2014-6-9,38,32,27,28,26,25,81,60,43,1002,1000,997,10,8,6,11,6,,0.00,,,-1<br />
2014-6-10,39,33,27,26,26,25,81,64,41,1002,1001,999,10,8,6,8,5,,0.00,,,-1<br />
2014-6-11,38,32,27,27,25,24,81,58,41,1008,1002,997,10,8,6,6,3,,0.00,8,,-1<br />
2014-6-12,39,32,28,27,26,25,80,59,43,1000,998,996,10,8,6,3,2,,0.00,,,-1<br />
2014-6-13,33,31,28,27,26,26,89,68,54,998,997,996,8,8,8,3,2,,0.00,8,Rain-Thunderstorm,-1<br />
2014-6-14,32,29,26,28,27,26,98,84,65,1002,1000,999,8,7,6,3,0,,0.00,8,Rain,-1<br />
2014-6-15,34,30,26,26,26,25,92,68,54,1001,1000,999,8,8,6,2,0,,0.00,8,,-1<br />
2014-6-16,38,32,27,25,24,23,78,56,36,1002,999,997,10,9,6,6,2,,0.00,,,-1<br />
2014-6-17,36,31,27,29,27,24,98,74,42,1001,999,997,10,8,6,2,2,,0.00,8,Fog-Rain,-1<br />
2014-6-18,36,31,26,27,26,24,89,66,45,1002,1000,998,10,9,6,8,2,,0.00,,,-1<br />
2014-6-19,34,30,26,26,24,23,77,61,47,1001,999,998,8,8,6,13,11,,0.00,8,,-1<br />
2014-6-20,35,30,26,26,26,25,92,72,54,1001,1001,1000,10,8,6,14,11,,0.00,,,-1<br />
2014-6-21,36,31,26,26,24,23,81,59,43,1003,1002,1001,8,8,6,13,6,,0.00,,,-1<br />
2014-6-22,36,31,27,26,25,24,81,62,44,1005,1003,1001,10,8,6,10,5,,0.00,,,-1<br />
2014-6-23,38,32,26,26,24,24,81,53,41,1002,1000,998,10,8,8,8,5,,0.00,,,-1<br />
2014-6-24,36,31,26,26,24,23,78,60,42,1001,1000,998,10,8,6,8,3,,0.00,,,-1<br />
2014-6-25,37,32,27,24,24,23,70,54,39,1002,1000,999,10,8,6,6,3,,0.00,8,,-1<br />
2014-6-26,34,31,27,26,24,24,71,60,51,1006,1004,1003,10,8,6,8,5,,0.00,,,-1<br />
2014-6-27,37,31,25,25,24,23,92,64,42,1008,1005,1003,8,8,6,6,5,,0.00,,,-1<br />
2014-6-28,38,33,27,26,25,25,77,57,39,1007,1005,1002,10,9,6,8,5,,0.00,,,-1<br />
2014-6-29,37,32,27,26,24,23,70,51,43,1004,1002,1000,10,8,6,10,6,,0.00,,,-1<br />
2014-6-30,38,32,26,26,25,24,78,57,41,1004,1002,1000,10,8,6,10,3,,0.00,,,-1<br />
2014-7-1,37,32,26,27,25,24,81,59,39,1005,1004,1002,10,8,6,8,5,,0.00,,,-1<br />
2014-7-2,38,32,27,26,25,24,78,56,41,1006,1004,1002,10,9,8,11,5,,0.00,,,-1<br />
2014-7-3,34,30,27,26,25,24,77,63,54,1003,1001,1000,8,8,6,6,5,,0.00,,,-1<br />
2014-7-4,37,31,26,27,26,24,78,59,46,1003,1002,1000,10,9,8,11,5,,0.00,,,-1<br />
2014-7-5,38,32,27,28,27,25,81,64,47,1004,1003,1001,10,9,8,8,5,,0.00,8,Rain,-1<br />
2014-7-6,39,33,27,28,26,26,91,65,37,1006,1004,1001,10,8,6,6,3,,0.00,,,-1<br />
2014-7-7,39,33,28,28,27,25,80,62,43,1002,1001,1000,10,8,6,6,3,,0.00,,Rain,-1<br />
2014-7-8,37,32,27,29,27,26,80,61,49,1002,1000,997,10,9,8,3,2,,0.00,8,,-1<br />
2014-7-9,33,30,27,27,26,23,81,68,59,1001,1000,998,8,8,6,3,3,,0.00,8,,-1<br />
2014-7-10,37,31,26,27,26,26,88,64,49,1003,1001,998,10,9,6,8,3,,0.00,,,-1<br />
2014-7-11,39,32,26,27,26,24,78,56,39,1003,1001,999,10,9,8,2,2,,0.00,,,-1<br />
2014-7-12,39,33,27,27,26,25,80,60,39,1003,1001,998,10,9,6,3,2,,0.00,,,-1<br />
2014-7-13,37,32,27,27,27,26,89,66,51,1003,1002,999,10,9,6,2,2,,0.00,8,,-1<br />
2014-7-14,38,32,27,27,26,25,93,63,44,1004,1003,1000,10,9,6,8,3,,0.00,,,-1<br />
2014-7-15,37,31,26,27,25,24,78,60,42,1005,1003,1001,10,9,6,3,3,,0.00,8,,-1<br />
2014-7-16,37,31,26,26,25,23,95,68,45,1006,1004,1002,10,9,6,8,5,,0.00,,,-1<br />
2014-7-17,38,32,26,28,26,23,81,60,42,1005,1002,999,10,8,6,6,3,,0.00,,,-1<br />
2014-7-18,38,32,27,27,26,24,81,57,44,1003,1001,999,10,9,6,6,3,,0.00,,,-1<br />
2014-7-19,34,30,27,27,25,23,68,63,54,1002,1000,999,8,8,6,6,5,,0.00,8,,-1<br />
2014-7-20,36,31,26,26,25,25,88,65,45,1003,1002,1000,10,9,8,13,8,,0.00,8,,-1<br />
2014-7-21,33,29,26,25,23,23,70,60,49,1004,1002,1001,8,8,6,11,8,,0.00,8,,-1<br />
2014-7-22,34,30,26,26,24,24,78,63,52,1005,1003,1002,10,9,6,8,5,,0.00,,,-1<br />
2014-7-23,35,30,26,24,23,23,70,56,43,1005,1003,1000,10,8,8,6,3,,0.00,8,,-1<br />
2014-7-24,38,32,26,26,24,24,81,57,41,1005,1003,1000,10,9,6,3,2,,0.00,,,-1<br />
2014-7-25,37,31,26,27,26,24,81,60,43,1005,1003,1000,10,8,6,2,2,,0.00,8,Rain-Thunderstorm,-1<br />
2014-7-26,34,30,26,27,27,26,89,73,58,1007,1005,1003,10,8,6,2,0,,0.00,8,,-1<br />
2014-7-27,32,28,23,27,26,24,100,78,65,1008,1005,1003,8,8,6,2,2,,0.00,8,,-1<br />
2014-7-28,36,30,25,26,24,24,89,64,42,1006,1004,1001,10,9,6,6,3,,0.00,,,-1<br />
2014-7-29,38,32,26,24,24,23,70,54,36,1005,1003,1000,10,9,6,6,3,,0.00,,,-1<br />
2014-7-30,38,32,26,26,25,24,78,55,39,1006,1004,1002,10,9,8,6,3,,0.00,,,-1<br />
2014-7-31,38,32,27,27,24,23,70,53,35,1006,1004,1000,10,8,6,3,2,,0.00,,,-1<br />
2014-8-1,37,31,26,26,24,24,78,57,44,1005,1003,999,10,9,6,6,3,,0.00,,,-1<br />
2014-8-2,37,30,26,26,24,24,81,58,44,1002,1001,999,10,8,6,6,5,,0.00,,,-1<br />
2014-8-3,36,31,26,26,24,24,78,58,42,1003,1001,999,10,9,6,10,5,,0.00,,,-1<br />
2014-8-4,38,31,27,25,24,23,73,61,45,1004,1001,998,10,9,6,8,6,,0.00,8,Rain,-1<br />
2014-8-5,36,32,29,27,26,25,71,61,51,1005,1002,1000,10,8,6,3,2,,0.00,,,-1<br />
2014-8-6,37,31,26,26,25,24,78,59,39,1004,1001,999,10,8,8,3,3,,0.00,,,-1<br />
2014-8-7,34,29,24,28,26,25,100,79,60,1004,1002,999,10,8,6,6,2,,0.00,8,Rain,-1<br />
2014-8-8,37,31,25,24,24,23,78,56,41,1005,1002,1000,10,9,8,3,3,,0.00,,,-1<br />
2014-8-9,34,30,26,25,24,24,78,60,47,1007,1005,1002,10,9,6,3,2,,0.00,,,-1<br />
2014-8-10,36,30,26,25,24,23,81,60,44,1007,1005,1002,10,8,6,8,6,,0.00,8,,-1<br />
2014-8-11,36,30,25,27,24,23,77,61,44,1006,1004,1001,10,9,6,8,3,,0.00,,,-1<br />
2014-8-12,37,31,25,26,24,23,78,58,37,1005,1003,1000,10,8,6,6,5,,0.00,,,-1<br />
2014-8-13,37,32,27,26,24,23,68,55,43,1004,1002,1000,10,9,8,10,6,,0.00,,,-1<br />
2014-8-14,35,31,27,24,24,23,68,58,44,1005,1004,1002,10,8,6,8,5,,0.00,8,,-1<br />
2014-8-15,33,28,23,26,25,24,100,80,57,1008,1007,1004,10,7,5,3,2,,0.00,8,Rain,-1<br />
2014-8-16,35,30,25,25,24,24,84,64,46,1008,1006,1004,10,8,6,6,3,,0.00,,,-1<br />
2014-8-17,34,30,26,25,24,23,70,58,47,1007,1005,1003,10,8,6,8,5,,0.00,,,-1<br />
2014-8-18,34,29,25,26,25,23,78,67,52,1009,1007,1006,10,8,6,6,3,,0.00,8,,-1<br />
2014-8-19,36,31,27,26,25,24,81,64,44,1009,1007,1004,10,8,6,3,2,,0.00,,,-1<br />
2014-8-20,27,27,25,27,26,24,100,92,77,1007,1006,1004,8,7,6,3,2,,0.00,8,Rain,-1<br />
2014-8-21,31,27,24,25,24,23,88,76,64,1007,1006,1004,10,8,5,8,5,,0.00,,,-1<br />
2014-8-22,35,30,25,26,24,23,81,65,44,1008,1006,1004,10,8,6,6,5,,0.00,,,-1<br />
2014-8-23,34,29,25,26,24,23,80,64,53,1010,1008,1005,10,9,6,8,5,,0.00,,,-1<br />
