
SDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-4-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-4-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-5-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-6-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-7-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-8-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-9-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-10-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2010-11-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
