
MDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-5-19,31,24,18,3,-1,-3,35,20,12,1014,1010,1007,16,16,16,39,23,48,0.00,0,,169<br />
2002-5-20,29,23,17,4,1,-2,42,26,16,1009,1006,1002,16,16,8,53,23,69,0.00,1,,181<br />
2002-5-21,18,12,6,7,3,-1,93,70,32,1014,1009,1004,16,16,11,37,21,66,0.00,6,,194<br />
2002-5-22,11,8,5,5,3,1,87,73,50,1017,1016,1014,16,16,16,19,8,35,0.00,5,,205<br />
2002-5-23,14,8,2,4,2,-2,93,64,36,1019,1017,1016,16,16,16,26,6,32,0.00,3,,352<br />
2002-5-24,17,10,3,6,3,0,87,60,39,1020,1019,1018,16,16,16,21,8,,0.00,2,,241<br />
2002-5-25,23,14,6,6,3,0,71,46,27,1020,1018,1015,16,16,16,16,11,,0.00,0,,224<br />
2002-5-26,26,18,11,9,3,1,62,37,20,1015,1013,1011,16,16,16,32,14,45,0.00,0,,250<br />
2002-5-27,28,20,12,8,6,2,63,40,20,1015,1013,1012,16,16,16,23,10,29,0.00,0,,210<br />
2002-5-28,28,20,13,7,6,3,63,37,20,1016,1015,1014,16,16,16,26,11,34,0.00,0,,258<br />
2002-5-29,29,21,14,8,7,3,59,39,25,1021,1019,1017,16,16,16,19,8,,0.00,0,,266<br />
2002-5-30,34,24,14,10,7,5,59,35,17,1018,1015,1012,16,16,16,23,11,,0.00,0,,216<br />
2002-5-31,32,26,19,14,7,2,43,32,20,1016,1013,1011,16,16,16,27,11,34,0.00,0,,254<br />
2002-6-1,26,21,17,13,7,1,77,39,20,1013,1010,1007,16,16,8,42,26,55,0.00,0,,181<br />
2002-6-2,22,18,14,14,11,8,88,69,49,1014,1012,1010,16,16,16,29,13,40,0.00,2,,342<br />
2002-6-3,22,17,12,12,7,1,94,54,25,1017,1015,1014,16,16,16,24,11,34,0.00,1,,329<br />
2002-6-4,24,17,11,8,4,-2,77,44,18,1021,1019,1017,16,16,16,26,10,35,0.00,0,,320<br />
2002-6-5,28,19,11,7,5,2,58,38,25,1023,1020,1018,16,16,16,19,8,,0.00,0,,186<br />
2002-6-6,31,23,15,10,8,5,56,38,27,1018,1015,1011,16,16,16,29,16,37,0.00,0,,240<br />
2002-6-7,27,20,14,13,8,6,68,45,29,1013,1010,1005,16,16,16,24,10,34,0.00,0,,317<br />
2002-6-8,20,17,12,10,4,-1,59,42,26,1010,1006,1003,16,16,16,35,19,55,0.00,0,,315<br />
2002-6-9,11,8,5,5,2,-3,93,70,44,1017,1013,1009,16,16,16,50,27,66,0.00,4,,333<br />
2002-6-10,18,10,2,-1,-2,-5,70,41,27,1018,1017,1016,16,16,16,24,8,40,0.00,0,,309<br />
2002-6-11,21,13,7,6,3,-2,71,48,35,1021,1019,1018,16,16,16,26,6,34,0.00,0,,329<br />
2002-6-12,26,17,8,6,3,0,62,39,26,1021,1020,1020,16,16,16,27,8,32,0.00,0,,336<br />
2002-6-13,28,20,13,7,3,1,51,32,18,1022,1021,1019,16,16,11,21,8,32,0.00,0,,345<br />
2002-6-14,32,22,13,8,4,1,48,30,17,1019,1015,1012,16,16,16,24,6,32,0.00,0,,301<br />
2002-6-15,32,22,13,13,5,2,54,31,17,1016,1015,1013,16,16,16,27,8,34,0.00,0,,297<br />
2002-6-16,33,24,16,7,4,3,45,27,15,1018,1016,1013,16,16,16,16,8,,0.00,0,,238<br />
2002-6-17,31,23,17,7,3,1,46,27,15,1017,1015,1012,16,16,11,21,8,29,0.00,0,,317<br />
2002-6-18,28,22,16,13,8,2,64,41,32,1014,1012,1010,16,16,16,35,11,37,0.00,0,,336<br />
2002-6-19,24,20,16,11,3,-3,60,35,19,1020,1017,1012,16,16,16,34,24,50,0.00,1,,330<br />
2002-6-20,28,21,14,11,7,0,63,39,30,1017,1015,1013,16,16,11,23,8,37,0.00,0,,311<br />
2002-6-21,33,26,19,12,7,2,53,31,14,1016,1014,1013,16,16,16,35,16,55,0.00,1,,182<br />
2002-6-22,30,22,15,12,8,2,63,41,17,1018,1016,1015,16,16,16,42,11,52,0.00,1,,277<br />
2002-6-23,31,22,13,12,9,6,72,42,24,1020,1019,1017,16,16,16,21,8,,0.00,0,,271<br />
2002-6-24,36,26,17,8,5,1,49,28,11,1019,1017,1015,16,16,16,27,13,35,0.00,0,,203<br />
2002-6-25,36,27,18,7,3,0,38,22,11,1020,1017,1016,16,16,16,26,13,32,0.00,0,,242<br />
2002-6-26,37,27,18,9,6,2,42,24,11,1019,1016,1014,16,16,16,26,11,32,0.00,0,,180<br />
2002-6-27,35,29,23,6,4,2,29,21,13,1016,1014,1011,16,16,16,34,19,39,0.00,0,,186<br />
2002-6-28,37,29,22,6,2,-3,33,19,8,1015,1013,1011,16,16,16,34,18,40,0.00,0,,200<br />
2002-6-29,36,29,23,6,2,-2,26,18,10,1016,1014,1013,16,16,16,34,23,47,0.00,0,,216<br />
2002-6-30,37,28,19,4,1,-3,30,18,11,1019,1017,1014,16,16,16,32,13,39,0.00,0,,184<br />
2002-7-1,35,27,19,14,8,-1,56,30,15,1020,1018,1015,16,16,16,23,11,32,0.00,0,,328<br />
2002-7-2,34,26,18,12,10,5,59,37,17,1022,1019,1017,16,16,11,32,11,53,0.00,0,,313<br />
2002-7-3,33,28,24,13,9,6,50,32,21,1018,1015,1013,16,16,16,26,16,35,0.00,0,,176<br />
2002-7-4,34,27,21,13,9,7,57,34,20,1015,1013,1012,16,15,11,34,19,40,0.00,0,,177<br />
2002-7-5,34,27,21,13,10,6,41,33,26,1016,1014,1012,16,16,16,23,11,27,0.00,0,,279<br />
2002-7-6,36,29,22,13,9,7,50,31,18,1019,1016,1015,16,16,16,24,10,32,0.00,0,,181<br />
2002-7-7,38,30,23,11,8,3,41,25,11,1019,1017,1014,16,16,16,32,11,50,0.00,0,,199<br />
2002-7-8,35,29,24,13,7,5,44,24,17,1023,1021,1017,16,16,16,29,18,40,0.00,0,,288<br />
2002-7-9,33,26,19,13,9,1,53,36,18,1027,1025,1023,16,16,16,24,14,32,0.00,0,,335<br />
2002-7-10,36,27,18,12,8,3,43,30,19,1025,1023,1021,16,16,11,21,8,34,0.00,0,,344<br />
2002-7-11,37,29,21,11,7,-3,46,26,14,1023,1020,1018,16,16,16,23,10,34,0.00,0,,299<br />
2002-7-12,39,30,21,9,6,1,33,21,12,1021,1018,1016,16,16,16,16,6,19,0.00,0,,335<br />
2002-7-13,41,31,21,10,6,1,41,22,9,1017,1015,1012,16,16,16,23,11,,0.00,0,,224<br />
2002-7-14,37,29,22,12,7,1,41,24,16,1015,1013,1012,16,16,16,26,11,37,0.00,0,,261<br />
2002-7-15,36,30,24,13,10,6,47,30,18,1017,1016,1014,16,16,16,26,13,35,0.00,0,,196<br />
2002-7-16,34,29,24,14,13,11,53,38,24,1019,1017,1015,16,16,16,39,18,52,0.00,1,,259<br />
2002-7-17,32,26,19,17,13,12,65,48,31,1021,1019,1017,16,16,16,32,10,42,0.00,0,,222<br />
2002-7-18,29,24,19,19,15,12,94,63,40,1021,1020,1018,16,16,5,24,11,35,0.00,1,,217<br />
2002-7-19,29,22,16,18,16,13,94,66,42,1020,1019,1016,16,16,16,35,10,58,0.00,1,,222<br />
2002-7-20,32,24,18,16,13,11,83,51,29,1019,1017,1016,16,16,16,23,13,,0.00,0,,255<br />
2002-7-21,33,24,17,14,11,7,72,42,21,1021,1019,1017,16,16,16,16,5,26,0.00,0,,15<br />
2002-7-22,34,26,18,16,10,5,60,39,21,1020,1018,1016,16,16,16,27,8,40,0.00,0,,157<br />
2002-7-23,35,27,19,16,13,11,73,42,23,1021,1020,1017,16,16,16,32,14,37,0.00,0,,170<br />
2002-7-24,34,27,23,14,13,12,53,42,28,1024,1022,1021,16,16,16,34,27,42,0.00,0,,176<br />
2002-7-25,31,24,18,17,14,9,73,52,34,1024,1021,1018,16,16,16,40,13,52,0.00,1,,205<br />
2002-7-26,27,21,18,15,13,12,77,65,42,1021,1020,1020,16,16,16,29,19,35,0.00,0,,182<br />
2002-7-27,33,26,19,13,10,5,57,38,18,1017,1014,1012,16,16,16,32,21,42,0.00,0,,213<br />
2002-7-28,21,19,17,5,4,3,40,39,35,1019,1018,1017,16,16,16,16,14,,0.00,0,,330<br />
2002-7-29,32,27,19,9,8,5,40,29,22,1021,1020,1019,16,16,16,23,14,32,0.00,0,,340<br />
2002-7-30,36,26,16,8,6,2,43,28,14,1021,1018,1016,16,16,16,23,8,,0.00,0,,209<br />
2002-7-31,34,27,21,13,7,2,38,27,18,1019,1017,1016,16,16,16,24,11,40,0.00,0,,273<br />
2002-8-5,33,29,24,4,1,-3,22,16,13,1016,1014,1013,16,16,16,37,29,52,0.00,0,,184<br />
2002-8-6,32,26,21,7,6,4,40,28,18,1018,1016,1014,16,16,16,34,21,42,0.00,0,,164<br />
2002-8-7,33,27,21,8,3,-1,38,23,11,1020,1018,1015,16,16,11,40,26,55,0.00,1,,192<br />
2002-8-8,24,19,16,4,2,-3,37,32,17,1028,1025,1021,16,16,16,21,14,29,0.00,0,,331<br />
2002-8-9,26,18,11,4,-1,-6,51,28,12,1028,1026,1024,16,16,16,27,8,37,0.00,0,,338<br />
2002-8-10,30,21,12,5,0,-5,40,26,16,1024,1022,1019,16,16,11,14,6,26,0.00,0,,104<br />
2002-8-11,34,29,24,6,-1,-3,28,16,10,1016,1015,1014,16,16,16,26,16,,0.00,0,,318<br />
2002-8-12,29,23,18,9,3,-1,42,27,14,1019,1018,1016,16,16,16,34,16,45,0.00,0,,331<br />
2002-8-13,30,26,21,7,6,2,33,26,22,1020,1019,1018,16,16,16,23,11,27,0.00,0,,9<br />
2002-8-14,32,23,14,7,2,-2,41,27,11,1018,1016,1013,16,16,16,27,8,37,0.00,0,,185<br />
2002-8-15,33,29,22,5,3,1,25,19,16,1017,1015,1014,16,16,16,19,11,26,0.00,0,,359<br />
2002-8-16,35,28,21,6,2,-4,33,21,12,1017,1016,1014,16,16,16,29,16,35,0.00,0,,234<br />
2002-8-17,33,24,16,7,1,-4,34,22,13,1019,1016,1012,16,16,16,14,6,,0.00,0,,179<br />
2002-8-18,27,23,19,8,2,-1,43,25,17,1014,1013,1012,16,16,16,19,6,26,0.00,0,,296<br />
2002-8-19,34,24,14,9,4,-1,40,28,19,1014,1012,1007,16,16,11,37,10,50,0.00,0,,195<br />
2002-8-20,20,19,17,13,12,11,68,67,64,1010,1009,1009,16,16,16,10,3,,0.00,0,,270<br />
2002-8-21,26,20,14,12,9,6,72,48,29,1015,1013,1010,16,16,8,32,10,40,0.00,0,,324<br />
2002-8-22,31,22,13,7,4,2,63,33,16,1020,1018,1017,16,16,16,29,14,40,0.00,0,,219<br />
2002-8-23,31,24,18,7,3,-3,40,28,12,1019,1017,1015,16,16,16,29,16,40,0.00,0,,192<br />
2002-8-24,28,21,14,8,6,3,52,39,20,1022,1021,1019,16,16,11,21,13,32,0.00,0,,202<br />
2002-8-25,32,23,14,6,2,-2,42,27,11,1021,1020,1018,16,16,16,24,11,34,0.00,0,,220<br />
2002-8-26,31,23,16,7,3,-2,35,26,17,1019,1016,1015,16,16,11,37,14,42,0.00,0,,322<br />
2002-8-27,26,21,16,8,7,6,55,38,30,1017,1017,1016,16,16,16,26,16,32,0.00,0,,330<br />
2002-8-28,32,23,16,10,7,4,59,37,20,1017,1015,1013,16,16,16,26,6,29,0.00,0,,299<br />
2002-8-29,31,26,21,8,4,2,34,26,16,1016,1015,1013,16,16,16,34,13,45,0.00,0,,229<br />
2002-8-30,33,26,18,10,4,-3,56,31,10,1019,1017,1015,16,16,16,29,19,39,0.00,0,,182<br />
2002-8-31,31,24,18,8,2,-4,52,24,12,1021,1020,1017,16,16,16,32,21,42,0.00,0,,192<br />
2002-9-1,32,23,14,5,1,-4,35,25,15,1023,1022,1020,16,16,16,19,6,,0.00,0,,226<br />
2002-9-2,32,23,16,7,6,3,45,32,21,1022,1020,1017,16,16,8,16,5,,0.00,0,,303<br />
2002-9-3,32,24,17,9,6,2,42,32,21,1017,1016,1015,16,16,16,35,18,45,0.00,0,,199<br />
2002-9-4,26,24,23,9,6,3,41,30,23,1016,1016,1015,16,16,16,24,18,,0.00,0,,192<br />
2002-9-5,32,26,21,13,9,4,60,34,22,1020,1017,1015,16,16,8,40,18,58,0.00,1,,184<br />
2002-9-7,22,19,16,17,14,13,94,81,64,1015,1013,1013,16,14,2,27,21,45,0.00,3,,210<br />
2002-9-8,19,16,13,14,13,12,100,84,64,1023,1020,1015,16,15,3,27,11,35,0.00,2,,196<br />
2002-9-9,22,17,12,14,11,7,100,72,46,1027,1025,1023,16,16,16,26,5,,0.00,0,,317<br />
2002-9-10,24,18,12,11,10,8,82,64,38,1024,1022,1019,16,16,16,14,5,,0.00,1,,326<br />
2002-9-11,20,18,16,16,14,11,100,81,64,1019,1019,1018,16,16,16,29,8,39,0.00,2,,205<br />
2002-9-12,23,19,15,15,13,11,100,75,47,1018,1017,1016,16,16,11,10,3,,0.00,4,,254<br />
2002-9-13,27,21,15,15,11,7,94,56,28,1020,1019,1017,16,16,16,21,11,27,0.00,0,,289<br />
2002-9-14,29,21,13,11,8,5,72,48,22,1024,1022,1020,16,16,16,16,10,,0.00,0,,211<br />
2002-9-15,31,23,16,9,6,3,63,39,17,1023,1019,1017,16,16,16,19,13,,0.00,0,,200<br />
2002-9-16,27,20,13,13,9,4,94,58,30,1018,1015,1014,16,15,11,50,19,90,0.00,1,,190<br />
2002-9-17,17,14,13,14,12,11,94,84,77,1014,1013,1012,16,16,16,24,16,27,0.00,4,,176<br />
2002-9-18,17,14,12,11,9,8,88,73,59,1020,1018,1017,16,16,16,32,19,39,0.00,3,,318<br />
2002-9-19,19,13,7,9,8,6,93,72,43,1022,1020,1018,16,16,16,14,8,26,0.00,0,,236<br />
2002-9-20,24,17,9,10,8,7,87,62,34,1019,1017,1015,16,16,16,26,11,,0.00,0,,188<br />
2002-9-21,22,17,12,9,6,3,77,49,31,1023,1021,1016,16,16,16,26,10,27,0.00,0,,342<br />
2002-9-22,24,16,7,6,4,1,76,43,23,1026,1024,1023,16,16,16,16,8,,0.00,0,,270<br />
2002-9-23,26,17,9,6,4,1,67,43,22,1024,1022,1020,16,16,16,14,5,,0.00,0,,217<br />
2002-9-24,28,20,12,5,3,2,62,38,20,1019,1016,1013,16,16,16,24,13,32,0.00,0,,202<br />
2002-9-25,22,19,17,7,3,2,42,35,30,1015,1013,1012,16,16,16,21,13,26,0.00,0,,242<br />
2002-9-26,23,17,10,7,5,2,71,49,29,1017,1014,1009,16,16,16,13,6,,0.00,0,,219<br />
