
MSD,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-2-8,0,-1,-1,0,-1,-1,100,99,93,1012,1007,1001,10,4,2,32,19,40,0.00,8,Rain-Snow,185<br />
2002-2-9,2,1,0,0,-1,-2,100,90,75,1004,1002,1000,10,10,10,35,27,40,0.00,7,Rain,222<br />
2002-2-10,1,-1,-3,0,-1,-3,100,96,87,1006,1004,1003,10,6,0,14,6,,0.00,7,Fog-Rain-Snow,242<br />
2002-2-11,1,-1,-2,0,-1,-2,100,93,87,1008,1005,1002,10,8,1,35,23,47,0.00,8,Fog-Rain-Snow,163<br />
2002-2-12,1,1,0,1,0,-1,100,93,87,1002,1001,1000,10,9,5,35,27,43,0.00,7,Rain-Snow,183<br />
2002-2-13,0,-1,-1,0,-1,-2,100,97,93,1000,994,990,10,6,2,43,35,55,0.00,8,Rain-Snow,146<br />
2002-2-14,1,0,0,0,0,-1,100,96,87,994,992,990,10,8,3,35,24,,0.00,8,Rain-Snow,129<br />
2002-2-15,1,-1,-2,0,-1,-2,100,97,87,1000,996,993,10,6,1,21,14,,0.00,8,Rain-Snow,320<br />
2002-2-16,0,-4,-8,-1,-7,-10,93,80,64,1004,1003,1001,10,10,5,32,24,,0.00,7,Snow,290<br />
2002-2-17,2,-3,-7,0,-3,-9,100,89,81,1003,1000,997,10,10,3,40,21,50,0.00,7,Rain-Snow,234<br />
2002-2-18,2,0,-2,-1,-2,-6,87,77,70,1014,1005,997,10,10,10,35,32,50,0.00,5,,269<br />
2002-2-19,0,-4,-9,-2,-6,-11,93,86,74,1019,1015,1010,10,10,10,35,16,43,0.00,6,Snow,151<br />
2002-2-20,2,1,0,1,-1,-2,100,91,87,1010,1005,1001,10,9,1,55,34,64,0.00,8,Rain-Snow,161<br />
2002-2-21,2,-1,-3,0,-2,-5,93,87,70,1015,1009,1002,10,10,10,35,29,40,0.00,7,Rain-Snow,184<br />
2002-2-22,1,-1,-3,0,-2,-4,100,92,81,1014,1011,1007,10,9,5,43,32,55,0.00,7,Rain-Snow,159<br />
2002-2-23,1,0,-1,1,-1,-5,100,94,75,1007,1001,996,10,8,1,40,27,50,0.00,8,Fog-Rain-Snow,172<br />
2002-2-24,-1,-2,-4,-2,-4,-5,93,85,75,1014,1010,1004,10,10,10,35,24,43,0.00,7,Rain-Snow,193<br />
2002-2-25,2,-1,-4,-1,-3,-7,93,82,64,1015,1014,1013,10,10,10,35,26,40,0.00,7,Snow,140<br />
2002-2-26,1,-2,-5,0,-3,-6,93,89,80,1014,1013,1011,10,10,10,35,29,,0.00,7,,144<br />
2002-2-27,0,-1,-2,0,-1,-2,100,94,87,1011,1011,1010,10,8,1,35,29,,0.00,8,Rain-Snow,174<br />
2002-2-28,1,-2,-4,0,-3,-6,100,90,80,1011,1008,1004,10,9,1,35,21,47,0.00,7,Rain-Snow,178<br />
2002-3-1,1,-1,-2,1,-3,-41,100,87,4,1007,1003,994,10,9,1,40,23,50,0.00,7,Rain-Snow,173<br />
2002-3-2,1,0,-2,0,-2,-3,93,84,75,1003,1000,996,10,10,10,35,29,43,0.00,7,Snow,211<br />
2002-3-3,1,-2,-6,0,-3,-6,100,94,86,1001,992,990,10,8,0,43,23,55,0.00,7,Fog-Rain-Snow,172<br />
2002-3-4,-4,-7,-8,-5,-7,-8,100,90,80,997,992,990,10,7,0,35,16,40,0.00,8,Fog-Snow,271<br />
2002-3-5,-2,-7,-11,-6,-10,-14,86,78,69,1009,1004,997,10,10,10,35,24,43,0.00,4,Snow,242<br />
2002-3-6,3,-2,-7,1,-2,-8,100,89,81,1009,1003,1000,10,9,2,35,29,43,0.00,8,Rain-Snow,215<br />
2002-3-7,2,1,1,2,1,0,100,94,87,1000,988,979,10,9,5,47,32,58,0.00,8,Rain,203<br />
2002-3-8,3,0,-3,2,-1,-6,100,86,69,980,974,969,10,10,10,61,35,72,0.00,7,,225<br />
2002-3-9,-3,-6,-7,-6,-8,-10,93,80,69,1006,992,981,10,8,2,47,37,58,0.00,6,Snow,261<br />
2002-3-10,2,-4,-11,-1,-6,-13,93,80,73,1008,1005,1003,10,9,2,40,24,50,0.00,6,Rain-Snow,204<br />
2002-3-11,2,0,-1,0,-1,-4,100,89,75,1004,999,996,10,8,2,35,26,40,0.00,8,Rain-Snow,229<br />
2002-3-12,1,-2,-5,0,-4,-10,100,85,68,1012,1009,1004,10,7,1,32,23,40,0.00,7,Snow,234<br />
2002-3-13,1,-2,-5,-1,-3,-6,100,83,65,1020,1015,1010,10,10,10,35,23,40,0.00,4,,208<br />
2002-3-14,3,-2,-6,1,-2,-6,100,90,75,1019,1013,1007,10,10,10,32,21,,0.00,8,Rain,137<br />
2002-3-15,3,0,-3,1,-3,-7,93,80,69,1006,1003,1001,10,10,10,35,27,43,0.00,7,Rain-Snow,217<br />
2002-3-16,0,-2,-4,-3,-6,-10,93,77,51,1012,1007,1002,10,10,10,35,29,47,0.00,5,Rain-Snow,307<br />
2002-3-17,2,-2,-5,-4,-7,-9,80,69,52,1018,1016,1012,10,10,10,35,31,43,0.00,1,,279<br />
2002-3-18,6,2,-1,-2,-3,-5,80,67,46,1022,1021,1019,,,,32,27,43,0.00,,,232<br />
2002-3-19,5,2,-1,0,-3,-5,81,74,65,1026,1025,1022,,,,32,23,,0.00,,,204<br />
2002-3-20,4,0,-4,-2,-4,-7,93,73,65,1027,1025,1020,,,,21,14,,0.00,,,118<br />
2002-3-21,5,2,-1,-1,-2,-3,87,75,65,1020,1015,1012,,,,29,21,,0.00,,,117<br />
2002-3-22,5,2,0,0,-1,-2,87,74,61,1012,1007,1004,,,,14,10,,0.00,,,43<br />
2002-3-23,5,3,1,0,-2,-2,87,74,61,1006,1004,1002,10,10,10,26,14,,0.00,8,,340<br />
2002-3-24,4,2,1,-1,-2,-2,87,75,65,1013,1010,1006,,,,29,23,,0.00,,,344<br />
2002-3-25,1,-1,-3,-1,-2,-5,100,85,75,1017,1015,1013,10,9,3,29,24,,0.00,6,Rain-Snow,355<br />
2002-3-26,2,-2,-6,-6,-7,-10,93,70,44,1019,1018,1017,,,,14,10,,0.00,,,330<br />
2002-3-27,5,-1,-6,-3,-6,-9,93,69,53,1019,1016,1013,,,,14,3,,0.00,,,158<br />
2002-3-28,1,-2,-5,-3,-6,-11,86,71,63,1013,1010,1009,,,,35,21,40,0.00,,,12<br />
2002-3-29,1,-4,-9,0,-7,-12,100,76,59,1014,1008,999,10,9,3,29,13,40,0.00,8,Rain-Snow,233<br />
2002-3-30,5,2,-1,1,-1,-5,100,83,57,999,995,993,10,10,10,40,26,50,0.00,6,Rain-Snow,293<br />
2002-3-31,-3,-6,-9,-5,-12,-16,86,67,53,1016,1008,1000,10,10,10,35,31,47,0.00,6,Snow,336<br />
2002-4-1,-6,-10,-13,-15,-16,-18,73,60,46,1027,1022,1016,10,10,10,26,14,,0.00,1,,5<br />
2002-4-2,-6,-10,-13,-10,-15,-19,80,62,50,1030,1029,1027,10,10,10,26,14,,0.00,7,Snow,76<br />
2002-4-3,-2,-6,-8,-2,-6,-9,100,94,86,1029,1021,1016,3,1,1,43,34,55,0.00,8,Snow,112<br />
2002-4-4,0,-1,-2,-2,-3,-4,100,89,80,1018,1014,1012,10,6,0,43,37,55,0.00,8,Snow,130<br />
2002-4-5,1,-1,-2,-4,-6,-8,80,69,56,1023,1020,1018,10,10,10,35,31,43,0.00,8,Snow,112<br />
2002-4-6,4,1,-2,-5,-7,-9,80,61,41,1025,1024,1022,,,,18,13,,0.00,,,67<br />
2002-4-7,3,0,-3,-7,-8,-10,64,54,41,1024,1023,1022,,,,26,18,,0.00,,,60<br />
2002-4-8,4,0,-3,-4,-7,-8,74,59,45,1024,1022,1020,,,,21,16,,0.00,,,38<br />
2002-4-9,7,2,-2,-3,-5,-8,69,57,46,1020,1017,1016,,,,35,21,40,0.00,,,24<br />
2002-4-10,6,2,-1,-2,-4,-7,80,64,53,1026,1022,1017,,,,35,27,40,0.00,,,32<br />
2002-4-11,5,1,-3,-5,-7,-8,75,59,39,1028,1027,1025,,,,18,11,,0.00,,,42<br />
2002-4-12,10,3,-3,-1,-4,-8,93,61,28,1029,1028,1028,,,,14,6,,0.00,,,212<br />
2002-4-13,12,4,-2,-1,-2,-4,87,62,35,1029,1028,1026,,,,18,10,,0.00,,,162<br />
2002-4-14,11,6,0,3,-1,-4,81,66,47,1026,1024,1021,10,10,10,18,11,,0.00,6,,143<br />
2002-4-15,12,7,3,4,1,-3,87,64,38,1021,1019,1016,10,10,10,18,3,,0.00,7,,70<br />
2002-4-16,13,7,2,3,-1,-3,81,59,35,1016,1012,1009,,,,26,10,,0.00,,,351<br />
2002-4-17,15,8,1,1,-1,-2,87,57,31,1016,1011,1008,,,,21,16,,0.00,,,6<br />
2002-4-18,11,6,2,1,0,-1,87,66,47,1024,1021,1017,10,10,10,18,14,,0.00,1,,80<br />
