
AWDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-30,24,19,15,11,9,6,77,51,38,1018,1017,1016,10,10,10,47,29,64,0.00,4,,126<br />
2006-1-31,25,19,14,13,9,6,73,53,31,1019,1016,1014,10,10,10,29,16,39,0.00,1,,172<br />
2006-2-1,26,20,14,13,10,8,82,56,32,1018,1016,1014,10,10,10,29,18,,0.00,1,,190<br />
2006-2-2,29,19,10,15,11,6,100,61,29,1017,1016,1014,10,10,10,29,11,,0.00,,,223<br />
2006-2-3,34,24,14,15,13,9,94,54,21,1018,1016,1015,10,10,10,27,14,,0.00,1,,187<br />
2006-2-4,36,26,17,15,11,7,82,40,18,1017,1014,1012,,,,37,18,,0.00,,,143<br />
2006-2-5,35,26,16,16,13,11,77,44,24,1016,1014,1012,10,10,10,34,16,53,0.00,1,,201<br />
2006-2-6,34,27,20,22,15,12,94,55,31,1017,1015,1011,10,9,2,40,24,58,0.00,5,Rain-Thunderstorm,91<br />
2006-2-7,30,24,17,22,18,13,94,71,35,1017,1013,1011,10,10,10,34,16,,0.00,2,,211<br />
2006-2-8,27,20,13,14,10,6,88,58,28,1021,1019,1017,10,10,10,27,21,,0.00,1,,181<br />
2006-2-9,31,22,14,11,9,7,67,43,22,1021,1018,1015,,,,35,23,53,0.00,,,94<br />
2006-2-10,34,27,19,16,12,7,69,42,28,1015,1013,1010,,,,34,21,50,0.00,,,157<br />
2006-2-11,34,27,20,18,14,11,78,48,34,1013,1011,1009,9,9,9,32,21,52,0.00,1,,123<br />
2006-2-12,33,27,21,20,17,14,83,58,31,1017,1015,1013,10,10,10,29,18,,0.00,1,,117<br />
2006-2-13,36,28,20,17,14,12,65,45,25,1018,1016,1014,10,10,10,32,21,29,0.00,1,,126<br />
2006-2-14,38,29,21,18,16,10,78,46,18,1014,1012,1009,10,10,10,24,11,,0.00,1,,349<br />
2006-2-15,25,22,18,20,17,12,94,81,60,1013,1011,1009,10,8,2,29,16,,0.00,5,Rain,287<br />
2006-2-16,23,19,15,15,13,12,88,70,50,1017,1015,1013,10,10,10,23,13,,0.00,4,,230<br />
2006-2-17,27,18,10,15,12,10,100,70,39,1016,1015,1014,10,8,1,29,10,,0.00,1,,245<br />
2006-2-18,28,21,14,13,12,10,82,59,32,1018,1016,1015,10,10,10,35,19,,0.00,5,,190<br />
2006-2-19,31,23,16,14,9,6,63,48,21,1020,1017,1015,,,,45,27,66,0.00,,,128<br />
2006-2-20,37,27,18,14,11,7,64,38,18,1016,1013,1010,10,10,10,34,19,48,0.00,,,107<br />
2006-2-21,39,31,24,21,14,10,83,47,17,1011,1009,1008,10,8,1,42,31,100,0.00,5,Rain-Thunderstorm,57<br />
2006-2-22,32,26,19,20,17,14,94,64,33,1011,1008,1006,10,9,8,21,11,,0.00,4,,236<br />
2006-2-23,25,21,17,19,14,10,88,67,50,1013,1010,1007,10,10,10,29,16,,0.00,5,,214<br />
2006-2-24,28,21,15,14,11,8,77,55,37,1016,1014,1013,10,10,10,27,18,,0.00,1,,180<br />
2006-2-25,32,23,15,15,11,5,88,48,27,1017,1015,1013,,,,35,18,52,0.00,,,130<br />
2006-2-26,36,27,19,18,12,5,73,42,23,1017,1015,1012,,,,37,23,50,0.00,,,103<br />
2006-2-27,37,29,20,18,11,8,78,35,18,1016,1014,1012,10,10,10,26,16,,0.00,,,71<br />
2006-2-28,35,28,20,16,12,6,68,40,23,1014,1011,1008,10,10,10,35,18,47,0.00,1,,72<br />
2006-3-1,27,24,22,20,17,15,88,64,51,1009,1005,1002,10,10,10,29,19,,0.00,5,,164<br />
2006-3-2,25,19,14,19,16,13,94,69,47,1016,1012,1007,10,10,10,23,14,,0.00,6,,248<br />
2006-3-3,33,22,11,16,14,11,100,63,29,1017,1016,1014,10,10,10,24,8,,0.00,1,,213<br />
2006-3-4,38,28,19,16,14,11,78,41,21,1019,1017,1015,,,,34,14,35,0.00,,,78<br />
2006-3-5,38,32,26,17,14,11,48,37,24,1022,1019,1016,,,,34,19,,0.00,,,105<br />
2006-3-6,35,28,20,15,12,2,68,39,18,1019,1016,1013,,,,35,26,52,0.00,,,90<br />
2006-3-7,36,28,20,15,13,10,68,43,20,1014,1012,1010,10,10,10,37,26,,0.00,,,65<br />
2006-3-8,34,26,18,20,16,13,83,53,28,1013,1011,1011,,,,24,11,,0.00,,,221<br />
2006-3-9,32,24,18,20,17,14,94,63,35,1013,1012,1011,,,,24,13,,0.00,,,228<br />
2006-3-10,28,22,16,19,17,15,100,73,51,1013,1011,1010,10,10,10,27,11,,0.00,3,,226<br />
2006-3-11,24,20,16,16,11,7,78,55,34,1016,1014,1011,10,10,10,32,18,,0.00,3,,202<br />
2006-3-12,28,19,10,12,9,3,87,55,20,1019,1017,1014,,,,29,16,,0.00,,,172<br />
2006-3-13,32,22,13,13,9,5,82,45,25,1018,1016,1013,9,9,9,32,21,,0.00,0,,133<br />
2006-3-14,33,23,14,14,10,3,82,45,21,1017,1016,1014,10,8,5,40,18,64,0.00,0,,185<br />
2006-3-15,32,24,17,12,9,5,68,42,20,1019,1017,1015,10,7,3,40,27,60,0.00,0,,98<br />
2006-3-16,33,24,16,14,11,8,72,46,26,1017,1016,1013,,,,40,29,55,0.00,,,124<br />
2006-3-17,33,24,15,12,9,6,82,42,18,1017,1015,1013,10,10,10,35,19,48,0.00,,,116<br />
2006-3-18,34,24,15,11,7,1,77,39,13,1016,1015,1013,,,,32,13,,0.00,,,96<br />
2006-3-19,34,26,18,11,8,4,59,38,15,1018,1016,1014,10,10,10,42,31,60,0.00,,,86<br />
2006-3-20,36,27,19,10,6,2,52,30,12,1016,1014,1013,,,,39,23,53,0.00,,,96<br />
2006-3-21,37,29,22,19,10,5,78,38,17,1015,1013,1012,,,,27,16,,0.00,,,208<br />
2006-3-22,24,19,15,18,13,6,94,67,41,1014,1013,1012,10,9,3,34,23,58,0.00,4,Rain,227<br />
2006-3-23,22,16,11,14,11,7,94,69,38,1013,1012,1011,10,10,5,34,19,50,0.00,4,Rain,217<br />
2006-3-24,20,17,14,16,14,12,100,87,64,1017,1014,1012,10,8,3,27,13,,0.00,5,Rain,192<br />
2006-3-25,24,16,8,13,10,7,100,71,38,1022,1019,1017,10,10,10,32,11,,0.00,2,Rain,207<br />
2006-3-26,25,18,12,7,5,0,67,46,19,1024,1021,1018,,,,32,16,,0.00,,,121<br />
2006-3-27,31,21,12,10,6,4,72,40,18,1018,1015,1012,,,,42,21,53,0.00,,,89<br />
2006-3-28,29,20,11,15,9,5,82,45,23,1020,1014,1012,,,,32,14,,0.00,,,192<br />
2006-3-29,30,23,17,10,9,6,63,43,25,1024,1022,1019,10,10,10,35,23,53,0.00,1,,124<br />
2006-3-30,30,22,15,10,7,2,67,39,18,1025,1023,1020,,,,45,27,58,0.00,,,102<br />
2006-3-31,26,20,15,13,9,5,77,48,26,1022,1019,1016,10,10,10,39,27,55,0.00,6,Rain,98<br />
2006-4-1,21,17,14,13,13,12,94,78,60,1016,1013,1010,10,10,6,26,19,,0.00,6,Rain,153<br />
2006-4-2,25,19,13,16,13,10,94,71,39,1018,1016,1013,10,10,10,29,14,,0.00,4,,198<br />
2006-4-3,24,17,10,12,9,6,88,60,33,1022,1020,1018,10,10,10,21,13,,0.00,3,,151<br />
2006-4-4,24,17,10,10,7,4,87,57,29,1024,1022,1020,10,10,10,26,13,,0.00,2,,126<br />
2006-4-5,23,16,8,10,8,6,93,57,35,1026,1024,1022,10,10,10,32,18,48,0.00,1,,104<br />
2006-4-6,25,19,14,8,7,5,63,47,29,1025,1021,1018,10,10,10,35,24,50,0.00,1,,96<br />
2006-4-7,27,20,14,10,8,5,72,47,24,1019,1015,1012,,,,34,23,47,0.00,,,80<br />
2006-4-8,30,23,16,14,11,7,82,51,27,1012,1010,1008,10,10,10,26,19,,0.00,1,,52<br />
2006-4-9,24,18,11,16,12,9,94,69,50,1016,1012,1008,10,10,8,34,14,47,0.00,3,,218<br />
2006-4-10,23,14,6,16,11,6,100,74,44,1018,1017,1016,10,10,5,26,10,35,0.00,5,,296<br />
2006-4-11,23,18,11,16,13,9,100,76,41,1018,1016,1015,10,9,3,24,8,,0.00,5,Fog,198<br />
2006-4-12,22,14,8,10,9,7,100,68,41,1017,1016,1014,10,10,10,26,10,,0.00,2,,218<br />
2006-4-13,24,14,6,13,9,6,100,70,38,1021,1018,1016,10,10,10,34,10,,0.00,3,Fog,192<br />
2006-4-14,26,20,14,12,9,5,82,59,26,1024,1021,1020,10,10,10,40,29,58,0.00,1,,101<br />
2006-4-15,29,21,14,14,11,7,82,54,25,1021,1018,1016,10,10,10,26,14,,0.00,2,,150<br />
2006-4-16,22,16,9,14,9,5,100,70,35,1018,1016,1015,10,9,0,37,18,50,0.00,3,Fog,201<br />
2006-4-17,20,12,4,7,4,0,93,58,26,1022,1020,1018,10,10,10,32,14,,0.00,1,,174<br />
2006-4-18,21,12,4,11,7,3,100,72,43,1022,1020,1019,10,10,10,27,10,,0.00,2,,245<br />
2006-4-19,24,16,7,11,7,5,100,63,31,1025,1023,1021,10,10,10,24,13,,0.00,1,,120<br />
2006-4-20,26,19,12,7,6,4,67,44,29,1024,1021,1018,,,,37,27,,0.00,,,78<br />
2006-4-21,31,23,16,19,12,4,94,52,25,1018,1015,1013,10,10,10,37,23,,0.00,3,Rain,5<br />
2006-4-22,21,17,13,19,12,9,94,72,49,1016,1015,1014,10,10,10,24,16,,0.00,4,Rain,229<br />
2006-4-23,22,17,12,14,13,11,94,78,50,1018,1016,1014,10,10,5,23,10,,0.00,5,,294<br />
2006-4-24,23,17,12,16,14,11,100,84,47,1015,1013,1012,10,9,3,19,8,,0.00,6,Rain,303<br />
2006-4-25,20,17,14,16,14,9,100,89,64,1013,1011,1009,10,8,1,34,13,,0.00,6,Rain,268<br />
2006-4-26,17,13,9,12,10,8,100,83,59,1022,1017,1013,10,9,2,26,11,,0.00,4,Rain,187<br />
2006-4-27,19,11,4,9,6,3,100,74,37,1024,1022,1021,10,10,10,24,8,,0.00,1,,205<br />
2006-4-28,22,13,6,13,9,5,100,73,43,1022,1021,1020,10,10,10,19,8,32,0.00,3,,191<br />
2006-4-29,22,16,9,12,11,8,100,76,46,1024,1023,1021,10,10,10,21,10,,0.00,2,,153<br />
2006-4-30,22,14,7,11,8,6,100,75,41,1025,1023,1022,10,10,10,19,6,,0.00,1,,267<br />
2006-5-1,23,14,7,13,10,7,100,75,38,1025,1024,1022,10,10,10,23,6,,0.00,1,,226<br />
2006-5-2,21,13,6,11,8,6,100,79,43,1026,1024,1023,10,9,0,26,5,,0.00,1,Fog,185<br />
2006-5-3,23,14,7,10,8,6,100,71,36,1025,1024,1022,9,9,9,23,10,,0.00,0,,226<br />
2006-5-4,22,13,5,11,8,5,100,76,43,1025,1024,1023,10,9,5,24,6,,0.00,2,,201<br />
2006-5-5,22,14,7,16,11,6,100,81,50,1025,1023,1022,10,10,9,21,8,,0.00,4,Rain,305<br />
2006-5-6,22,16,10,17,14,9,100,88,60,1024,1022,1021,10,6,0,21,8,,0.00,5,Fog-Rain,201<br />
2006-5-7,22,14,7,11,7,5,94,63,33,1027,1024,1023,,,,27,14,,0.00,,,87<br />
2006-5-8,24,16,8,10,6,3,94,56,25,1024,1023,1021,,,,21,13,,0.00,,,93<br />
2006-5-9,25,15,5,11,7,5,100,71,29,1022,1021,1019,9,7,6,23,6,,0.00,2,,12<br />
2006-5-10,27,17,8,6,4,1,87,46,20,1020,1019,1017,10,10,10,24,14,,0.00,,,62<br />
2006-5-11,29,18,7,8,2,-2,81,39,13,1022,1021,1019,10,10,10,24,13,,0.00,,,42<br />
2006-5-12,29,20,11,5,1,-3,62,33,12,1024,1022,1020,10,10,10,26,16,,0.00,,,52<br />
2006-5-13,28,20,13,6,1,-2,51,33,14,1023,1021,1019,,,,27,14,,0.00,,,47<br />
2006-5-14,29,20,12,8,2,-1,51,32,16,1019,1016,1014,10,10,10,29,14,,0.00,6,,29<br />
2006-5-15,22,16,11,18,14,3,100,82,35,1021,1017,1014,10,8,0,23,13,,0.00,5,Rain-Thunderstorm,353<br />
2006-5-16,22,16,10,12,11,9,100,77,53,1025,1023,1021,10,10,9,19,10,,0.00,3,,202<br />
2006-5-17,24,18,13,14,12,7,88,69,47,1025,1023,1022,10,10,10,23,14,,0.00,3,,150<br />
2006-5-18,23,17,11,12,11,7,94,65,41,1025,1022,1021,10,10,10,26,16,,0.00,3,,164<br />
2006-5-19,20,14,9,9,7,5,82,60,37,1028,1027,1025,10,10,10,35,16,52,0.00,2,,127<br />
2006-5-20,21,16,12,10,9,8,82,66,43,1029,1027,1025,10,10,10,29,18,,0.00,2,,92<br />
2006-5-21,26,19,13,13,9,7,77,57,34,1025,1023,1020,10,10,10,29,23,,0.00,3,,57<br />
2006-5-22,26,22,18,8,6,4,52,40,24,1019,1017,1014,10,10,10,27,19,,0.00,3,,34<br />
2006-5-23,18,14,10,17,13,4,100,85,42,1017,1015,1013,10,9,3,32,14,,0.00,5,Rain-Hail-Thunderstorm,236<br />
2006-5-24,17,11,5,11,7,4,100,77,42,1023,1019,1017,10,8,0,24,14,,0.00,2,Fog,156<br />
2006-5-25,17,10,4,4,3,2,93,64,37,1026,1024,1022,10,10,10,32,14,,0.00,1,,98<br />
2006-5-26,19,11,4,6,4,2,93,65,35,1028,1026,1025,10,10,10,32,14,47,0.00,,,77<br />
2006-5-27,21,16,10,7,5,3,76,55,33,1028,1025,1022,,,,29,19,,0.00,,,64<br />
2006-5-28,23,18,13,14,8,4,100,57,38,1022,1018,1015,10,10,6,29,19,,0.00,6,Rain,33<br />
2006-5-29,17,11,5,14,9,5,100,82,45,1021,1017,1015,10,9,5,34,14,58,0.00,5,Rain,205<br />
2006-5-30,17,11,5,12,8,4,100,84,48,1025,1023,1021,10,10,4,23,10,,0.00,4,Rain,37<br />
2006-5-31,16,10,5,10,7,4,100,85,59,1028,1026,1025,10,10,10,16,6,,0.00,5,,65<br />
2006-6-1,19,11,4,8,6,4,100,71,37,1027,1025,1023,10,10,9,26,10,,0.00,3,,79<br />
2006-6-2,19,12,6,9,6,4,87,72,40,1026,1025,1023,10,10,10,26,13,,0.00,1,,61<br />
2006-6-3,20,14,9,7,4,2,76,58,33,1026,1024,1023,,,,26,18,,0.00,,,76<br />
2006-6-4,22,13,6,4,3,0,87,54,25,1027,1025,1023,,,,24,16,,0.00,,,67<br />
2006-6-5,24,16,7,7,3,1,76,52,23,1025,1023,1021,10,10,10,19,11,,0.00,,,49<br />
2006-6-6,22,14,8,14,8,1,100,66,41,1024,1022,1021,10,10,10,24,14,,0.00,1,,13<br />
2006-6-7,18,12,7,11,8,3,100,77,48,1031,1027,1024,10,6,1,27,11,,0.00,2,Rain,100<br />
2006-6-8,17,11,6,4,2,-1,81,57,30,1034,1032,1030,10,10,10,35,21,,0.00,1,,106<br />
2006-6-9,17,11,5,6,5,3,87,69,45,1034,1031,1029,10,10,10,26,14,,0.00,3,,94<br />
2006-6-10,18,11,5,6,4,3,93,69,37,1033,1032,1031,10,10,10,27,13,,0.00,3,,85<br />
2006-6-11,20,13,7,6,4,2,87,59,32,1033,1030,1028,10,10,10,26,13,,0.00,1,,54<br />
2006-6-12,21,13,6,6,3,0,81,54,25,1028,1024,1022,10,10,10,24,13,,0.00,3,,21<br />
2006-6-13,23,14,7,4,1,-3,71,46,20,1021,1020,1017,10,10,10,24,13,,0.00,3,Rain,42<br />
2006-6-14,23,17,10,2,-2,-4,54,32,16,1025,1022,1020,,,,29,18,,0.00,,,83<br />
2006-6-15,21,12,4,-1,-3,-6,65,36,16,1027,1025,1024,,,,34,19,,0.00,,,80<br />
2006-6-16,19,10,1,-2,-5,-9,81,38,14,1028,1026,1024,10,10,10,29,18,,0.00,,,83<br />
2006-6-17,20,9,-1,6,-1,-6,100,58,21,1024,1022,1020,,,,23,6,,0.00,,,154<br />
2006-6-18,22,11,0,4,1,-2,93,62,20,1022,1019,1016,9,8,5,14,8,,0.00,1,,13<br />
2006-6-19,22,13,6,16,9,2,94,72,45,1015,1012,1009,10,8,2,37,18,60,0.00,6,Rain,329<br />
2006-6-20,18,13,9,12,9,6,94,68,45,1021,1017,1012,10,10,5,29,21,52,0.00,4,Rain,246<br />
2006-6-21,19,12,6,9,7,5,100,74,49,1023,1022,1021,10,10,10,14,8,,0.00,4,,45<br />
2006-6-22,19,11,3,7,6,2,100,72,40,1025,1023,1021,10,10,10,23,10,,0.00,2,,66<br />
2006-6-23,20,13,6,6,4,0,87,57,26,1023,1022,1020,10,10,10,24,13,,0.00,,,84<br />
2006-6-24,21,13,6,6,3,1,87,53,28,1027,1024,1023,10,10,10,24,16,,0.00,,,68<br />
2006-6-25,23,14,5,13,7,3,100,66,37,1025,1023,1021,10,10,5,19,11,,0.00,2,Fog,12<br />
2006-6-26,18,13,9,13,11,8,100,88,59,1026,1024,1022,10,7,1,14,6,,0.00,4,Fog-Rain,106<br />
2006-6-27,21,14,8,15,11,7,100,87,53,1022,1016,1013,10,9,3,47,16,63,0.00,5,Rain,334<br />
2006-6-28,16,11,7,10,7,4,93,70,48,1027,1023,1017,10,10,10,26,18,,0.00,5,Rain,185<br />
2006-6-29,17,11,6,9,7,5,93,73,52,1028,1026,1025,10,10,10,14,10,,0.00,6,,8<br />
2006-6-30,20,16,11,14,11,7,94,75,56,1025,1023,1021,10,10,4,26,13,,0.00,5,Rain,330<br />
2006-7-1,20,14,7,16,11,6,100,80,46,1024,1022,1021,10,9,1,26,10,,0.00,3,Fog-Rain,220<br />
2006-7-2,22,14,7,12,9,6,100,77,43,1023,1021,1019,10,10,10,16,8,,0.00,1,,29<br />
2006-7-3,21,16,10,17,13,10,100,92,64,1023,1019,1017,10,8,3,26,11,,0.00,5,Rain,349<br />
2006-7-4,18,14,10,13,12,9,100,87,59,1029,1026,1023,10,9,0,21,6,,0.00,5,Fog-Rain,50<br />
2006-7-5,19,12,6,12,8,5,100,77,45,1032,1031,1029,10,10,10,23,5,,0.00,2,,88<br />
2006-7-6,21,13,6,10,7,5,93,62,46,1032,1030,1028,10,10,10,32,16,,0.00,1,,67<br />
2006-7-7,22,17,12,8,6,4,72,52,31,1028,1025,1021,10,10,10,26,19,,0.00,1,,61<br />
2006-7-8,24,17,9,15,8,1,100,66,23,1021,1017,1014,10,10,10,32,14,,0.00,1,,12<br />
2006-7-9,19,16,13,16,11,6,100,76,43,1015,1014,1011,10,9,4,37,16,55,0.00,5,Rain,258<br />
2006-7-10,16,11,7,11,5,1,94,67,39,1024,1019,1015,10,10,10,26,16,,0.00,5,Rain,190<br />
2006-7-11,15,11,7,5,3,1,81,63,39,1033,1029,1025,10,10,10,34,19,50,0.00,2,,163<br />
2006-7-12,16,10,4,5,4,3,100,74,42,1034,1032,1029,10,10,10,26,14,,0.00,3,,149<br />
2006-7-13,17,9,1,6,4,0,100,75,42,1031,1027,1025,10,10,10,14,6,,0.00,3,,22<br />
2006-7-14,18,12,7,14,9,6,100,83,55,1028,1026,1025,10,10,3,16,8,,0.00,4,Fog-Rain,13<br />
2006-7-15,20,14,9,11,9,8,100,82,52,1031,1029,1028,10,10,9,26,10,,0.00,2,,56<br />
2006-7-16,19,13,7,7,6,4,87,66,40,1032,1029,1027,,,,24,14,,0.00,,,65<br />
2006-7-17,19,12,6,5,3,2,76,59,35,1028,1026,1024,,,,27,16,,0.00,,,62<br />
2006-7-18,20,13,6,3,1,-4,76,51,20,1026,1025,1023,10,10,10,23,14,,0.00,1,,41<br />
2006-7-19,21,13,6,4,2,0,87,53,26,1025,1022,1020,10,10,10,23,14,,0.00,,,43<br />
2006-7-20,20,11,3,14,7,1,100,77,42,1020,1015,1012,10,8,2,47,18,61,0.00,4,Rain,331<br />
2006-7-21,15,9,4,8,4,1,100,74,41,1026,1022,1015,10,10,10,39,19,,0.00,3,,196<br />
2006-7-22,16,7,-1,5,2,-1,100,74,39,1028,1026,1025,10,10,10,16,6,,0.00,1,,51<br />
2006-7-23,21,13,6,6,5,3,87,63,31,1026,1022,1017,10,10,10,34,16,52,0.00,1,,36<br />
2006-7-24,18,12,7,13,7,-3,100,73,26,1024,1014,1010,10,8,3,34,18,35,0.00,6,Rain,359<br />
2006-7-25,17,11,5,13,9,5,100,92,68,1023,1021,1018,10,9,4,16,10,,0.00,4,Fog-Rain,32<br />
2006-7-26,19,13,7,9,7,4,100,74,37,1023,1021,1018,10,10,9,24,13,,0.00,5,,360<br />
2006-7-27,17,12,8,13,9,4,94,84,54,1018,1013,1009,10,9,3,39,23,69,0.00,5,Rain,293<br />
2006-7-28,16,10,4,11,7,4,100,86,55,1019,1018,1017,10,9,3,23,10,,0.00,5,Rain,16<br />
2006-7-29,18,13,9,12,9,6,100,84,48,1021,1019,1018,10,8,1,27,14,,0.00,4,Fog-Rain,354<br />
2006-7-30,19,13,8,12,10,8,100,82,52,1022,1020,1018,10,10,10,24,11,40,0.00,3,Rain,11<br />
2006-7-31,16,12,8,14,9,4,100,86,45,1018,1013,1011,10,9,3,19,10,29,0.00,5,Fog-Rain,6<br />
2006-8-1,18,12,6,14,8,4,100,81,42,1016,1014,1013,10,8,1,37,13,48,0.00,3,Fog-Rain,348<br />
2006-8-2,19,14,10,12,10,7,100,76,46,1021,1018,1015,10,10,9,23,11,,0.00,6,Rain,351<br />
2006-8-3,23,17,10,14,12,10,100,80,46,1021,1020,1018,10,9,4,21,10,,0.00,5,Rain,13<br />
2006-8-4,22,14,8,14,11,7,100,80,40,1024,1020,1018,10,10,10,21,11,,0.00,3,,354<br />
2006-8-5,22,16,9,14,11,9,100,77,43,1025,1022,1020,10,10,10,23,11,,0.00,5,Fog,32<br />
2006-8-6,22,16,11,17,13,9,88,77,64,1019,1016,1013,10,10,4,32,14,,0.00,6,Rain,8<br />
2006-8-7,20,17,14,17,12,3,94,73,45,1018,1012,1008,10,9,4,47,29,71,0.00,6,Rain-Thunderstorm,313<br />
2006-8-8,17,12,8,9,6,2,93,65,42,1029,1025,1018,10,10,10,47,18,63,0.00,4,Rain,225<br />
2006-8-9,18,12,7,8,6,4,93,67,42,1029,1026,1024,10,10,10,16,8,,0.00,6,,107<br />
2006-8-10,22,12,3,9,6,2,100,73,33,1024,1022,1020,10,10,10,16,5,,0.00,,,231<br />
2006-8-11,20,12,5,12,9,4,100,77,49,1021,1019,1018,10,10,8,27,13,,0.00,5,Fog,359<br />
2006-8-12,19,17,13,16,12,9,100,79,59,1020,1017,1016,10,9,4,32,16,48,0.00,6,Rain,319<br />
2006-8-13,17,13,11,13,12,10,100,88,63,1022,1020,1019,10,9,3,21,10,,0.00,5,Rain,210<br />
2006-8-14,21,16,11,15,12,9,100,77,49,1020,1015,1010,10,9,2,37,16,53,0.00,5,Rain,359<br />
2006-8-15,17,13,11,15,11,6,100,82,48,1016,1008,1005,10,9,2,39,24,72,0.00,5,Rain-Thunderstorm,281<br />
2006-8-16,16,11,6,10,7,4,100,79,45,1026,1022,1017,10,10,7,21,10,,0.00,4,Rain,180<br />
2006-8-17,19,11,4,7,4,1,100,72,36,1025,1022,1018,10,10,10,24,10,,0.00,1,,42<br />
2006-8-18,21,13,6,16,9,4,100,73,53,1017,1015,1014,10,9,6,35,14,,0.00,5,Rain,357<br />
2006-8-19,18,17,15,16,14,12,100,91,68,1015,1014,1011,10,7,1,45,14,52,0.00,6,Fog-Rain,334<br />
2006-8-20,19,13,8,13,8,5,94,71,40,1018,1017,1014,10,10,10,24,13,,0.00,3,Rain,304<br />
2006-8-21,22,16,11,14,11,9,94,74,43,1017,1013,1007,10,10,6,32,13,47,0.00,5,Rain,22<br />
