
WSDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-2-28,29,28,25,26,25,24,97,83,70,1012,1010,1009,19,18,10,34,11,,38.10,8,Rain,-1<br />
2013-3-1,30,27,24,26,24,23,94,83,71,1012,1011,1010,19,19,19,27,14,,0.00,,,-1<br />
2013-3-2,30,28,25,25,24,24,95,80,67,1012,1010,1008,19,19,19,182,24,,3.05,,,-1<br />
2013-3-3,31,28,25,25,24,23,90,78,65,1011,1010,1008,19,19,19,10,3,,0.00,,,-1<br />
2013-3-4,31,28,25,25,24,23,89,78,63,1011,1010,1008,19,19,19,6,3,,0.00,,,-1<br />
2013-3-5,30,28,26,26,24,24,94,81,66,1011,1009,1008,19,18,10,16,6,,4.06,8,Rain,-1<br />
2013-3-6,29,27,24,25,24,24,96,87,70,1009,1009,1007,19,17,10,55,19,,12.95,8,Rain,-1<br />
2013-3-7,28,27,26,25,24,23,87,78,71,1012,1010,1008,19,19,19,24,11,,1.02,8,Rain,-1<br />
2013-3-8,30,29,26,26,25,24,94,78,72,1011,1010,1009,19,16,10,32,23,,33.02,8,Rain,-1<br />
2013-3-9,29,27,24,24,24,23,96,83,71,1011,1010,1008,19,19,19,10,6,,21.08,8,Rain,-1<br />
2013-3-10,29,27,24,25,24,23,91,80,72,1010,1009,1008,19,18,10,34,19,,3.05,8,Rain,-1<br />
2013-3-11,31,29,27,26,24,24,82,77,65,1012,1010,1008,19,18,10,163,39,,3.05,8,Rain,-1<br />
2013-3-12,31,28,24,26,24,22,89,72,65,1012,1010,1009,19,19,19,47,16,,17.02,8,Rain,-1<br />
2013-3-13,31,28,26,26,24,24,91,76,66,1012,1010,1008,19,19,19,24,13,,1.02,,,-1<br />
2013-3-14,31,28,24,26,25,23,93,78,66,1012,1011,1009,19,19,19,13,8,,6.10,8,,-1<br />
2013-3-15,31,29,27,27,25,24,89,76,65,1014,1012,1011,19,19,19,21,10,,2.03,,Tornado,-1<br />
2013-3-16,26,26,24,24,24,23,92,91,91,1014,1013,1013,19,19,19,6,3,,0.00,,,-1<br />
2013-3-17,31,28,25,26,24,23,89,76,68,1013,1012,1011,19,19,19,10,3,,0.00,,,-1<br />
2013-3-18,28,25,25,25,24,24,91,84,78,1011,1011,1011,19,19,19,6,3,,0.00,,,-1<br />
2013-3-19,30,28,26,26,24,23,86,76,67,1013,1012,1010,19,19,19,11,6,,3.05,8,Rain,-1<br />
2013-3-20,28,27,24,24,23,23,94,82,69,1014,1011,1010,19,18,10,24,6,,7.87,8,Rain,-1<br />
2013-3-21,30,28,26,26,24,23,85,74,65,1013,1011,1009,19,18,10,145,58,,10.92,,Rain-Thunderstorm,-1<br />
2013-3-22,29,27,24,25,23,22,90,81,68,1013,1010,1001,19,19,19,19,6,,21.08,8,Rain,-1<br />
2013-3-23,29,27,24,25,24,23,92,81,71,1012,1011,1009,19,19,19,11,5,,17.02,,,-1<br />
2013-3-24,29,27,23,24,23,22,94,80,60,1012,1010,1008,19,19,19,24,11,,9.91,8,Rain,-1<br />
2013-3-25,30,27,24,25,24,23,92,79,64,1010,1009,1006,19,19,19,11,2,,1.02,,,-1<br />
2013-3-26,29,27,25,25,24,24,94,83,72,1011,1009,1008,19,19,19,14,6,,20.07,,,-1<br />
2013-3-27,31,28,26,26,25,24,92,83,70,1012,1010,1008,19,19,19,23,8,,14.99,8,Rain-Thunderstorm,-1<br />
2013-3-28,29,27,25,25,24,23,90,80,72,1011,1010,1008,19,19,19,19,8,,1.02,8,,-1<br />
2013-3-29,31,28,25,26,25,24,98,80,67,1011,1010,1008,19,18,10,19,6,,0.76,8,Rain,-1<br />
2013-3-30,31,28,25,26,25,24,93,80,66,1013,1011,1009,19,19,19,13,5,,2.03,,Rain,-1<br />
2013-3-31,31,28,25,26,25,24,91,80,68,1013,1011,1009,19,19,19,14,5,,0.00,,,-1<br />
2013-4-1,31,28,26,26,25,24,93,83,66,1013,1012,1011,19,19,19,10,3,,0.00,,,-1<br />
2013-4-2,31,28,25,26,24,22,89,78,63,1013,1012,1010,19,19,19,13,3,,1.02,,,-1<br />
2013-4-3,31,27,24,26,24,22,95,79,65,1041,1016,1009,19,19,19,27,8,,0.00,,,-1<br />
2013-4-4,31,28,24,27,25,22,86,76,67,1013,1011,1009,19,19,19,26,10,,0.00,,,-1<br />
2013-4-5,31,28,26,27,25,24,91,78,66,1012,1010,1008,19,19,19,21,8,,6.10,,Rain,-1<br />
2013-4-6,31,28,26,27,25,24,89,77,65,1012,1010,1009,19,19,19,21,10,,0.00,,,-1<br />
2013-4-7,30,27,24,24,24,23,89,74,64,1012,1010,1009,19,19,19,13,6,,0.00,,,-1<br />
2013-4-8,31,29,27,26,24,24,79,72,62,1012,1011,1008,19,19,19,34,13,,0.00,,,-1<br />
2013-4-9,31,30,27,24,24,23,77,67,60,1010,1009,1007,19,19,19,24,18,,0.00,,,-1<br />
2013-4-10,32,28,24,26,24,22,91,74,61,1011,1009,1007,19,19,19,24,8,,0.00,,,-1<br />
2013-4-11,31,28,24,26,24,23,94,78,67,1011,1010,1008,19,19,19,27,8,,0.00,,,-1<br />
2013-4-12,32,29,27,26,24,23,81,73,63,1011,1010,1009,19,19,19,21,10,,3.05,,Rain,-1<br />
2013-4-13,31,28,26,24,24,23,91,77,61,1010,1009,1008,19,19,19,19,6,,3.05,,,-1<br />
2013-4-14,31,28,25,25,24,23,85,75,65,1011,1009,1008,19,19,19,14,6,,0.00,8,Hail-Thunderstorm,-1<br />
2013-4-15,27,26,24,24,24,23,95,87,78,1010,1009,1008,19,19,19,6,3,,1.02,8,Rain,-1<br />
2013-4-16,29,27,24,25,24,24,97,85,72,1010,1009,1007,19,19,19,13,5,,2.03,,,-1<br />
2013-4-17,28,27,25,26,25,24,95,86,77,1011,1009,1008,19,17,3,32,6,,40.89,8,Rain,-1<br />
2013-4-18,28,27,26,25,24,24,94,87,75,1012,1011,1009,19,19,19,19,6,,9.91,8,Rain,-1<br />
2013-4-19,29,27,25,25,24,24,98,84,69,1012,1010,1008,19,19,19,14,3,,2.03,8,,-1<br />
2013-4-20,30,27,24,24,24,23,94,81,65,1012,1010,1009,19,19,19,6,5,,0.00,,,-1<br />
2013-4-21,31,28,25,26,24,24,92,78,64,1012,1010,1009,19,19,19,14,8,,5.08,8,,-1<br />
2013-4-22,29,27,24,26,24,23,97,85,71,1013,1011,1009,19,19,19,32,11,,1.02,8,Rain,-1<br />
2013-4-23,31,28,24,25,24,23,91,80,66,1013,1010,1001,19,19,19,23,10,,6.10,,,-1<br />
2013-4-24,30,28,25,26,24,24,93,82,70,1014,1012,1010,19,19,19,23,5,,0.00,8,,-1<br />
2013-4-25,31,28,24,26,24,23,97,77,63,1013,1012,1010,19,19,19,16,6,,2.03,,Rain,-1<br />
2013-4-26,31,28,26,25,24,23,93,77,64,1013,1011,1010,19,19,19,29,10,,1.02,,,-1<br />
2013-4-27,31,28,24,26,23,22,87,75,58,1013,1011,1009,19,19,19,27,8,,0.00,,,-1<br />
2013-4-28,31,27,24,26,24,23,93,76,66,1014,1012,1009,19,19,19,34,11,,0.00,,,-1<br />
2013-4-29,31,28,25,25,24,23,92,78,63,1012,1010,1009,19,19,19,19,10,,3.05,,Rain,-1<br />
2013-4-30,31,28,26,26,24,23,90,81,65,1011,1010,1009,19,19,19,10,6,,0.00,,,-1<br />
2013-5-1,30,28,25,26,25,24,93,86,72,1010,1008,1007,19,19,19,21,8,,6.10,8,Rain,-1<br />
2013-5-2,31,28,24,25,24,24,97,81,62,1012,1010,1008,19,19,19,16,6,,1.02,8,,-1<br />
2013-5-3,29,28,26,25,24,23,85,75,68,1012,1011,1009,19,19,19,21,10,,0.00,8,,-1<br />
2013-5-4,31,28,25,24,23,22,91,72,56,1012,1010,1008,19,19,19,19,11,,0.00,,Rain,-1<br />
2013-5-5,30,28,26,23,22,21,75,65,50,1013,1011,1009,19,19,19,11,6,,0.00,,,-1<br />
2013-5-6,29,27,24,23,22,20,91,70,51,1013,1011,1009,19,19,19,26,6,,0.00,,,-1<br />
2013-5-7,29,27,23,21,20,19,79,65,47,1013,1011,1010,19,19,19,26,6,,0.00,,,-1<br />
2013-5-8,31,28,24,24,23,22,85,70,61,1013,1011,1009,19,19,19,32,14,,0.00,,,-1<br />
2013-5-9,31,28,24,25,23,21,88,76,65,1012,1011,1010,19,19,19,26,6,,0.00,,,-1<br />
2013-5-10,31,28,26,25,23,22,80,69,52,1012,1011,1009,19,19,19,24,11,,0.00,,,-1<br />
2013-5-11,31,28,26,25,24,23,97,77,64,1011,1011,1009,19,16,10,34,16,,3.05,8,Rain,-1<br />
2013-5-12,31,28,26,26,25,23,94,78,65,1013,1011,1010,19,18,10,19,13,,29.97,8,Rain,-1<br />
2013-5-13,31,28,26,28,26,24,91,83,70,1012,1011,1009,19,19,19,23,8,,5.08,,Rain,-1<br />
2013-5-14,31,28,25,25,24,24,92,77,62,1013,1011,1009,19,19,19,13,5,,0.00,,,-1<br />
2013-5-15,31,28,25,26,25,23,91,82,69,1013,1012,1011,19,19,19,16,6,,0.00,,,-1<br />
2013-5-16,31,28,25,26,24,23,88,75,68,1014,1013,1011,19,19,19,27,8,,0.00,,,-1<br />
2013-5-17,31,29,27,26,25,24,82,74,69,1014,1013,1011,19,19,19,32,18,,0.00,,,-1<br />
2013-5-18,31,29,26,25,24,24,90,76,65,1013,1012,1011,19,19,19,45,16,,3.05,,Rain,-1<br />
2013-5-19,31,27,24,26,24,23,92,75,63,1014,1012,1011,19,19,19,35,14,,0.00,,,-1<br />
2013-5-20,30,29,28,26,24,23,82,75,68,1015,1013,1012,19,19,19,16,14,,11.94,,Thunderstorm,-1<br />
2013-5-21,30,29,28,26,24,23,76,71,65,1014,1012,1010,19,19,19,35,21,,1.02,,Rain,-1<br />
2013-5-22,30,28,25,26,25,24,95,79,70,1013,1012,1010,19,19,19,39,21,,3.05,8,,-1<br />
2013-5-23,27,26,24,26,24,22,94,91,87,1014,1013,1011,19,19,19,19,8,,10.92,8,Rain-Thunderstorm,-1<br />
2013-5-24,31,27,23,26,24,22,91,78,67,1014,1012,1010,19,19,19,23,11,,1.02,,,-1<br />
2013-5-25,30,27,24,25,24,23,91,80,66,1013,1012,1010,19,19,19,32,11,,0.00,,Rain,-1<br />
2013-5-26,30,28,25,25,24,23,94,80,68,1015,1012,1010,19,19,19,26,11,,0.51,,,-1<br />
2013-5-27,31,29,27,26,24,23,90,73,63,1013,1012,1011,19,19,19,34,21,,0.00,,,-1<br />
2013-5-28,31,28,26,26,25,24,89,80,68,1014,1013,1012,19,19,19,23,14,,8.89,8,Rain,-1<br />
2013-5-29,31,27,23,25,23,21,83,74,61,1014,1012,1010,19,19,19,29,11,,0.00,,,-1<br />
2013-5-30,31,29,27,26,24,22,87,69,57,1012,1011,1009,19,19,19,26,21,,2.03,,,-1<br />
2013-5-31,29,27,24,25,24,23,92,85,70,1013,1011,1009,19,16,10,34,19,,41.91,8,Rain-Thunderstorm,-1<br />
2013-6-1,30,27,24,26,25,24,96,78,65,1010,1009,1007,19,17,3,37,16,,13.97,8,Rain-Thunderstorm,-1<br />
2013-6-2,30,28,26,26,25,24,90,76,72,1010,1009,1008,19,19,19,23,18,,5.08,,Rain-Thunderstorm,-1<br />
2013-6-3,31,28,25,27,25,24,95,81,69,1013,1011,1009,19,19,19,11,6,,0.00,,,-1<br />
2013-6-4,30,28,26,25,24,24,88,77,68,1013,1011,1009,19,19,19,34,13,,99.06,,,-1<br />
2013-6-5,29,27,25,25,24,23,92,84,72,1013,1011,1009,19,15,3,26,18,,7.87,8,Rain-Thunderstorm,-1<br />
2013-6-6,28,26,24,24,23,22,93,82,62,1014,1012,1011,19,12,3,23,10,,12.95,8,Rain,-1<br />
2013-6-7,29,27,25,24,23,22,91,75,65,1012,1011,1009,19,19,19,29,11,,0.00,,,-1<br />
2013-6-8,30,27,23,24,23,22,91,75,64,1011,1009,1007,19,19,19,24,10,,0.00,,,-1<br />
2013-6-9,31,27,23,24,23,21,87,74,59,1011,1009,1007,19,19,19,26,8,,0.00,,,-1<br />
2013-6-10,30,27,24,26,23,22,89,78,63,1011,1010,1009,19,19,19,29,6,,0.00,,,-1<br />
2013-6-11,30,28,25,26,24,23,90,77,68,1012,1010,1009,19,19,19,14,5,,0.00,,Thunderstorm,-1<br />
2013-6-12,31,28,26,25,24,24,92,81,65,1011,1010,1008,19,19,19,14,3,,0.00,,,-1<br />
2013-6-13,30,27,24,26,23,22,91,80,69,1011,1009,1008,19,19,19,23,6,,0.00,,,-1<br />
2013-6-14,30,28,25,26,24,23,92,81,59,1012,1011,1009,19,18,10,35,6,,0.00,8,,-1<br />
2013-6-15,30,28,25,25,24,23,89,75,65,1012,1010,1009,19,19,19,27,13,,1.02,,Rain,-1<br />
2013-6-16,30,28,27,25,24,23,80,74,66,1011,1009,1007,19,19,19,24,11,,0.00,,,-1<br />
2013-6-17,30,28,25,26,24,23,89,79,68,1010,1009,1007,19,19,19,29,10,,3.05,,Rain-Thunderstorm,-1<br />
2013-6-18,29,28,26,24,23,22,78,68,56,1012,1010,1009,19,19,19,16,13,,1.02,,,-1<br />
2013-6-19,30,27,23,25,23,21,87,79,63,1011,1010,1009,19,19,19,26,8,,1.02,,Rain,-1<br />
2013-6-20,30,28,26,25,24,23,92,77,65,1013,1011,1010,19,19,19,19,8,,1.02,,,-1<br />
2013-6-21,31,28,24,25,24,22,90,78,64,1013,1011,1010,19,19,19,24,13,,1.02,,,-1<br />
2013-6-22,30,27,23,26,24,22,88,77,66,1014,1012,1011,19,19,19,26,10,,0.00,,,-1<br />
2013-6-23,28,26,24,23,23,22,90,82,69,1014,1013,1012,19,19,19,11,5,,0.00,,,-1<br />
2013-6-24,31,28,24,24,23,23,89,80,60,1014,1013,1012,19,19,19,16,5,,1.02,,,-1<br />
2013-6-25,29,27,24,24,23,23,87,77,64,1015,1014,1012,19,19,19,29,13,,4.06,8,Rain,-1<br />
2013-6-26,27,26,24,24,23,23,91,86,71,1016,1014,1013,19,19,19,19,8,,6.10,8,Rain-Thunderstorm,-1<br />
2013-6-27,30,28,26,26,24,23,86,79,71,1014,1013,1011,19,19,19,32,14,,2.03,,,-1<br />
2013-6-28,30,27,24,24,23,22,91,74,62,1014,1012,1011,19,19,19,27,10,,0.00,,,-1<br />
2013-6-29,29,26,22,23,22,21,88,78,58,1013,1012,1010,19,16,0,14,8,,1.02,,,-1<br />
2013-6-30,31,28,26,25,24,23,79,69,64,1012,1011,1011,19,19,19,8,5,,0.00,,,-1<br />
2013-7-1,30,27,23,25,23,22,98,81,68,1014,1012,1011,19,19,19,26,8,,0.00,,,-1<br />
2013-7-2,30,27,24,24,22,12,91,73,33,1014,1013,1012,19,19,19,32,10,,2.03,,,-1<br />
2013-7-3,28,27,26,24,23,21,89,76,58,1014,1013,1011,19,19,19,23,10,,2.03,8,Rain,-1<br />
2013-7-4,28,27,26,23,22,21,74,65,58,1014,1012,1010,19,19,19,26,16,,0.00,,,-1<br />
2013-7-5,28,27,26,24,22,21,76,66,61,1013,1011,1010,19,19,19,40,19,,0.00,8,,-1<br />
2013-7-6,28,26,24,25,23,22,95,81,67,1014,1012,1010,19,19,19,32,19,,18.03,8,Rain,-1<br />
2013-7-7,29,26,23,23,22,21,83,72,62,1014,1012,1011,19,19,19,32,16,,0.25,8,Rain,-1<br />
2013-7-8,29,27,25,24,23,22,83,77,69,1013,1011,1009,19,19,19,19,10,,0.00,,,-1<br />
2013-7-9,29,26,23,24,23,22,91,82,69,1011,1010,1008,19,19,19,13,5,,0.00,,,-1<br />
2013-7-10,29,27,24,25,24,22,91,82,71,1012,1010,1009,19,19,19,23,6,,1.02,,,-1<br />
2013-7-11,31,27,24,26,24,23,92,79,63,1012,1011,1009,19,19,19,27,10,,3.05,,Rain,-1<br />
2013-7-12,30,28,25,25,24,23,89,79,69,1012,1010,1008,19,19,19,21,8,,3.05,,Rain,-1<br />
2013-7-13,29,27,24,26,24,23,99,83,74,1011,1009,1008,19,18,10,29,16,,4.06,8,Rain,-1<br />
2013-7-14,31,28,24,24,23,22,90,77,50,1012,1010,1009,19,19,19,23,6,,0.00,8,,-1<br />
2013-7-15,29,27,24,26,24,22,96,82,71,1012,1011,1009,19,18,10,21,6,,0.00,,,-1<br />
2013-7-16,28,27,25,24,24,23,87,80,75,1013,1012,1010,19,19,19,11,5,,0.00,,,-1<br />
2013-7-17,29,27,25,26,24,22,94,79,65,1013,1011,1009,19,19,19,27,11,,0.00,,,-1<br />
2013-7-18,29,28,26,23,22,22,81,68,55,1012,1010,1009,19,19,19,21,11,,0.00,8,Rain,-1<br />
2013-7-19,28,27,26,23,23,22,80,75,65,1013,1012,1011,19,18,10,32,16,,2.03,8,Rain,-1<br />
2013-7-20,28,27,26,24,23,21,89,77,56,1012,1011,1009,19,19,19,39,34,,3.05,8,Rain,-1<br />
2013-7-21,29,27,26,25,23,21,91,74,67,1013,1011,1009,19,19,19,34,19,,14.99,8,Rain,-1<br />
2013-7-22,29,26,23,24,23,21,94,82,68,1013,1011,1010,19,19,19,8,2,,0.00,,,-1<br />
2013-7-23,28,,28,22,22,22,66,66,66,1010,1010,1010,,,,6,6,,0.00,,,-1<br />
2013-7-24,29,27,23,24,23,22,92,78,62,1013,1011,1010,19,19,19,19,5,,0.00,,,-1<br />
2013-7-25,29,26,23,24,22,21,90,79,66,1013,1012,1011,19,19,19,24,8,,0.00,,,-1<br />
2013-7-26,29,27,24,24,23,22,95,79,65,1013,1012,1011,19,19,19,26,11,,0.00,,,-1<br />
2013-7-27,29,27,23,24,22,21,83,72,60,1014,1013,1011,19,19,19,29,11,,0.00,,,-1<br />
2013-7-28,27,24,23,24,23,21,84,82,77,1014,1013,1012,19,19,19,19,11,,0.00,,,-1<br />
2013-7-29,28,27,26,26,24,23,88,78,71,1012,1011,1009,19,19,19,29,19,,8.89,,Rain,-1<br />
2013-7-30,29,28,27,24,23,22,78,71,66,1010,1010,1009,19,19,19,29,23,,0.25,,,-1<br />
2013-7-31,29,28,26,24,24,23,93,76,68,1012,1010,1008,19,19,19,27,16,,0.00,8,Rain,-1<br />
2013-8-1,29,27,24,25,24,23,94,81,72,1013,1011,1010,19,18,10,16,10,,1.02,8,,-1<br />
2013-8-2,29,27,24,27,24,23,94,82,73,1013,1011,1009,19,19,19,14,8,,0.00,,Rain,-1<br />
2013-8-3,29,26,23,25,23,21,88,79,70,1013,1011,1009,19,19,19,13,6,,0.00,,,-1<br />
2013-8-4,29,27,24,25,24,23,96,79,62,1012,1011,1009,19,19,19,16,6,,0.00,,,-1<br />
2013-8-5,30,27,24,25,24,23,92,77,68,1013,1012,1010,19,19,19,24,11,,0.00,,,-1<br />
2013-8-6,29,27,24,28,24,22,99,81,67,1014,1012,1010,19,19,19,29,10,,0.00,,,-1<br />
2013-8-7,29,27,25,24,23,21,89,72,60,1014,1013,1011,19,19,19,37,13,,59.94,,,-1<br />
2013-8-8,29,26,23,23,22,21,86,71,55,1014,1013,1011,19,19,19,32,10,,0.00,,,-1<br />
2013-8-9,29,27,25,23,22,21,78,67,55,1013,1012,1011,19,19,19,34,14,,0.00,,,-1<br />
2013-8-10,29,28,27,24,23,22,80,70,64,1012,1011,1010,19,19,19,182,74,,0.00,,,-1<br />
2013-8-11,28,26,23,24,23,22,94,82,60,1015,1012,1010,19,15,3,37,14,,36.07,8,Rain-Thunderstorm-Tornado,-1<br />
2013-8-12,29,27,25,24,24,24,90,77,67,1013,1012,1010,19,19,19,24,11,,0.00,,,-1<br />
2013-8-13,28,26,23,23,23,22,99,82,64,1013,1012,1011,19,19,19,16,8,,0.00,,,-1<br />
2013-8-14,29,27,23,23,23,22,90,72,57,1012,1011,1010,19,19,19,29,14,,0.00,,,-1<br />
2013-8-15,28,28,24,24,23,22,81,80,78,1011,1011,1010,19,19,19,14,10,,0.00,,,-1<br />
2013-8-16,29,26,23,24,23,21,92,79,64,1010,1010,1009,19,19,19,26,10,,0.25,,,-1<br />
