
SST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-2-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-3-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-4-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-8,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-9,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-10,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-11,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-12,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-13,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-14,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-15,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-5-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-16,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-17,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-18,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-19,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-21,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-22,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-23,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-24,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-25,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-26,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-27,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-6-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-1,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-2,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-4,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-5,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-6,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2008-7-7,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
