
NOVST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-23,-5,-7,-8,-6,-8,-11,93,87,68,1022,1021,1020,10,5,4,26,14,,0.00,8,Snow,189<br />
2002-1-24,-2,-3,-5,-3,-6,-9,93,86,74,1023,1022,1021,6,5,4,29,18,,0.00,7,Snow,205<br />
2002-1-25,-5,-8,-11,-6,-11,-13,93,82,73,1022,1020,1019,10,6,5,29,21,32,0.00,4,Snow,182<br />
2002-1-26,-2,-3,-5,-3,-4,-7,100,92,86,1025,1023,1019,6,5,4,32,23,35,0.00,8,Snow,216<br />
2002-1-27,2,-1,-4,0,-3,-6,93,90,75,1024,1019,1014,8,6,2,35,24,43,0.00,7,Snow,185<br />
2002-1-28,-1,-3,-5,-4,-6,-7,93,84,80,1019,1017,1015,10,6,2,40,29,43,0.00,7,Snow,205<br />
2002-1-29,0,-2,-4,-1,-4,-10,100,81,64,1017,1014,1010,10,6,1,47,29,58,0.00,7,Snow,196<br />
2002-1-30,-2,-4,-7,-3,-6,-9,93,88,80,1017,1014,1009,8,5,2,35,21,35,0.00,7,Snow,189<br />
2002-1-31,3,-2,-6,0,-3,-9,93,85,80,1008,1002,999,10,6,1,47,26,55,0.00,7,Snow,179<br />
2002-2-1,2,-4,-11,-1,-5,-14,93,81,70,1011,1003,1001,10,6,1,43,35,58,0.00,6,Snow,215<br />
2002-2-2,-12,-17,-22,-16,-20,-25,92,82,72,1026,1021,1012,10,6,4,26,14,,0.00,0,,250<br />
2002-2-3,-17,-21,-26,-19,-24,-28,92,83,77,1027,1026,1026,6,3,1,11,3,,0.00,2,Fog,207<br />
2002-2-4,-16,-21,-26,-19,-24,-28,92,84,77,1026,1024,1022,4,2,1,11,3,,0.00,0,Fog,82<br />
2002-2-5,-18,-22,-27,-22,-25,-30,84,80,72,1031,1027,1022,5,3,1,14,8,,0.00,3,Snow,282<br />
2002-2-6,-11,-19,-26,-13,-22,-28,85,83,77,1031,1027,1019,10,4,1,35,11,43,0.00,3,Fog-Snow,174<br />
2002-2-7,-4,-8,-11,-5,-9,-13,93,89,85,1019,1016,1015,6,3,1,35,26,40,0.00,7,Snow,221<br />
2002-2-8,-2,-3,-4,-4,-4,-5,93,90,86,1016,1014,1013,6,4,1,32,21,43,0.00,8,Snow,234<br />
2002-2-9,-1,-2,-3,-1,-3,-5,100,92,86,1016,1013,1009,8,5,2,32,18,32,0.00,8,Rain-Snow,200<br />
2002-2-10,0,-2,-3,-2,-3,-4,93,89,80,1013,1010,1007,10,6,2,32,26,35,0.00,7,Snow,221<br />
2002-2-11,1,-2,-4,1,-2,-4,100,94,75,1014,1013,1012,6,4,1,26,18,26,0.00,7,Snow,186<br />
2002-2-12,1,-1,-2,1,-3,-5,100,85,75,1021,1017,1012,10,7,2,21,18,,0.00,6,Snow,245<br />
2002-2-13,0,-3,-6,-1,-4,-7,100,88,75,1021,1020,1020,6,5,3,21,19,,0.00,7,,181<br />
2002-2-14,1,-2,-5,-2,-4,-6,100,89,75,1020,1015,1009,10,4,3,26,14,26,0.00,8,Snow,139<br />
2002-2-15,2,0,-2,1,-1,-3,100,93,75,1009,1003,998,10,5,0,47,18,47,0.00,7,Fog-Snow,147<br />
2002-2-16,0,-1,-2,-1,-2,-4,100,87,75,1002,999,997,10,5,1,40,31,50,0.00,6,Snow,202<br />
2002-2-17,-1,-3,-4,-1,-4,-5,100,89,80,1009,1001,997,10,4,1,43,26,50,0.00,7,Snow,216<br />
2002-2-18,-2,-6,-8,-3,-6,-10,100,88,80,1011,1009,1007,6,2,0,64,42,64,0.00,6,Snow,211<br />
2002-2-19,0,-3,-6,-1,-3,-10,100,90,74,1023,1011,1007,10,4,0,35,27,55,0.00,7,Snow,236<br />
2002-2-20,-6,-12,-17,-11,-14,-19,92,80,63,1039,1035,1024,10,7,6,18,13,,0.00,0,,233<br />
2002-2-21,-8,-12,-16,-12,-14,-18,92,84,68,1039,1037,1035,10,7,6,29,18,32,0.00,0,,165<br />
2002-2-22,-7,-11,-15,-13,-15,-17,85,74,58,1035,1034,1034,6,6,6,21,14,,0.00,3,,171<br />
2002-2-23,-5,-11,-17,-12,-16,-20,85,73,54,1034,1030,1027,,,,26,13,,0.00,,,158<br />
2002-2-24,-5,-9,-12,-7,-12,-15,86,76,63,1027,1023,1020,10,9,6,26,16,,0.00,4,,180<br />
2002-2-25,-1,-3,-6,-4,-6,-8,100,87,75,1028,1024,1021,8,6,3,11,6,,0.00,6,Snow,101<br />
2002-2-26,-2,-4,-8,-4,-6,-9,93,87,69,1030,1029,1028,6,6,5,18,13,,0.00,6,Snow,67<br />
2002-2-27,-3,-7,-11,-8,-11,-14,93,78,64,1030,1029,1028,6,6,6,26,18,35,0.00,2,,91<br />
2002-2-28,-5,-9,-13,-12,-14,-16,79,68,54,1029,1028,1026,6,6,6,29,19,35,0.00,5,,105<br />
2002-3-1,-5,-11,-16,-10,-14,-19,86,73,63,1026,1023,1021,6,6,4,29,18,32,0.00,4,,125<br />
2002-3-2,2,-6,-13,1,-6,-14,100,93,85,1021,1019,1018,6,4,0,26,14,29,0.00,7,Fog,149<br />
2002-3-3,1,0,-1,1,-1,-5,100,91,65,1017,1012,1007,6,4,0,21,16,29,0.00,7,Fog-Snow,144<br />
2002-3-4,2,1,0,1,-2,-5,100,85,69,1009,1006,999,10,7,2,29,19,35,0.00,7,Rain-Snow,180<br />
2002-3-5,4,1,-2,3,-2,-6,100,82,69,1001,996,988,10,8,0,50,35,61,0.00,6,Rain-Snow,211<br />
2002-3-6,-2,-4,-7,-6,-8,-10,86,80,69,1011,1008,1002,10,9,6,43,32,50,0.00,5,Snow,230<br />
2002-3-7,1,-4,-8,0,-6,-11,93,84,75,1011,1009,1004,10,8,3,35,26,43,0.00,7,Snow,213<br />
2002-3-8,4,2,1,1,0,-2,100,86,70,1003,998,995,10,8,3,47,35,64,0.00,7,Rain-Snow,208<br />
2002-3-9,5,4,2,1,1,-1,93,79,70,1005,997,991,10,10,10,50,37,68,0.00,7,,207<br />
2002-3-10,2,0,-5,1,-1,-8,100,90,80,1011,1006,1005,10,8,1,32,21,,0.00,6,Rain-Snow,225<br />
2002-3-11,0,-3,-7,-2,-6,-9,93,80,64,1020,1017,1011,10,10,10,40,24,50,0.00,4,,211<br />
2002-3-12,3,0,-2,-1,-3,-5,87,77,65,1019,1012,1001,10,8,2,47,34,64,0.00,7,Snow,189<br />
2002-3-13,1,-2,-5,-1,-6,-10,87,74,59,1013,1008,1000,10,8,3,43,34,55,0.00,5,Snow,230<br />
2002-3-14,-3,-7,-11,-3,-9,-14,100,77,59,1024,1016,1006,10,7,0,40,24,43,0.00,6,Snow,261<br />
2002-3-15,0,-7,-14,-2,-10,-16,92,79,59,1030,1026,1017,10,9,6,21,11,32,0.00,6,Snow,199<br />
2002-3-16,7,4,2,3,1,0,93,81,70,1016,1009,999,10,9,6,32,24,35,0.00,6,Rain,196<br />
2002-3-17,3,0,-4,2,-2,-8,100,84,69,998,992,989,10,8,2,32,23,35,0.00,6,Rain-Snow,238<br />
2002-3-18,-3,-4,-6,-6,-8,-11,86,76,63,1016,1005,996,10,9,1,47,29,64,0.00,5,Snow,263<br />
2002-3-19,2,-2,-6,-1,-4,-8,93,83,74,1025,1020,1016,10,8,6,29,23,35,0.00,6,Snow,259<br />
2002-3-20,3,-3,-8,0,-6,-11,93,76,48,1031,1028,1025,5,3,2,32,13,,0.00,4,,236<br />
2002-3-21,9,3,-2,2,0,-2,100,82,53,1024,1023,1022,6,4,3,21,13,,0.00,3,,243<br />
2002-3-22,10,4,-2,3,1,-2,100,83,58,1023,1019,1014,8,3,1,11,2,,0.00,3,,158<br />
2002-3-23,9,4,-1,2,1,-2,100,80,57,1014,1010,1009,6,4,1,29,11,43,0.00,3,,73<br />
2002-3-24,2,-1,-3,0,-3,-5,100,87,80,1011,1010,1009,6,5,1,29,21,40,0.00,8,Snow,67<br />
2002-3-25,-1,-2,-3,-4,-4,-5,93,87,75,1012,1011,1010,6,5,2,18,14,26,0.00,8,Snow,59<br />
2002-3-26,0,-1,-2,-1,-3,-5,100,88,80,1012,1011,1009,7,4,1,18,10,,0.00,8,Snow,58<br />
2002-3-27,0,-3,-6,-3,-5,-7,93,81,64,1019,1016,1012,10,9,6,29,14,35,0.00,6,Snow,280<br />
2002-3-28,2,-2,-6,1,-3,-7,100,90,65,1019,1011,1000,10,5,0,32,16,35,0.00,7,Rain-Snow,194<br />
2002-3-29,1,-4,-9,1,-10,-14,100,68,51,1011,1007,1000,10,6,3,32,18,43,0.00,6,Rain-Snow,7<br />
2002-3-30,-3,-7,-11,-6,-11,-15,100,72,50,1010,1004,997,6,2,1,26,16,43,0.00,6,Snow,75<br />
2002-3-31,0,-3,-7,-2,-6,-8,100,87,64,999,996,995,10,5,0,26,13,35,0.00,8,Snow,44<br />
2002-4-1,-3,-7,-9,-4,-10,-13,93,74,54,1010,1006,996,6,5,2,29,21,43,0.00,5,Snow,34<br />
2002-4-2,-7,-9,-11,-9,-13,-17,93,75,57,1027,1017,1008,10,5,1,29,24,43,0.00,7,Snow,341<br />
2002-4-3,-6,-13,-21,-13,-18,-23,92,67,53,1033,1031,1028,10,10,10,29,16,,0.00,2,,274<br />
2002-4-4,-6,-13,-20,-12,-17,-21,92,70,46,1037,1036,1033,6,5,4,14,10,,0.00,1,,229<br />
2002-4-5,-3,-9,-14,-10,-13,-15,100,73,50,1039,1037,1035,10,5,2,18,5,21,0.00,3,,206<br />
2002-4-6,-1,-6,-10,-7,-11,-14,86,72,59,1041,1038,1035,6,5,3,26,10,29,0.00,2,,129<br />
2002-4-7,1,-6,-11,-6,-9,-13,93,73,55,1036,1035,1034,6,6,6,29,18,32,0.00,4,,74<br />
2002-4-8,4,-2,-7,-5,-8,-10,80,65,45,1035,1032,1029,6,6,5,21,18,32,0.00,1,,82<br />
2002-4-9,6,0,-6,-3,-5,-8,93,68,49,1029,1024,1017,6,5,5,21,14,,0.00,5,,68<br />
2002-4-10,3,1,-1,2,-1,-6,100,87,65,1018,1013,1009,6,4,1,32,19,47,0.00,7,Rain-Snow,29<br />
2002-4-11,-3,-7,-11,-8,-13,-16,79,61,50,1030,1027,1019,5,5,5,26,19,43,0.00,0,,8<br />
2002-4-12,-1,-6,-10,-6,-11,-14,86,64,51,1027,1023,1017,8,5,0,35,13,50,0.00,1,Snow,261<br />
2002-4-13,8,2,-3,-2,-3,-5,100,68,43,1025,1019,1016,10,9,3,35,23,43,0.00,5,Snow,279<br />
2002-4-14,10,3,-3,1,-2,-5,87,68,53,1030,1028,1026,2,2,1,21,13,29,0.00,0,,254<br />
2002-4-15,12,6,-1,3,1,-2,100,71,50,1027,1025,1023,6,4,2,18,5,,0.00,3,,200<br />
2002-4-16,13,7,1,3,2,-1,93,68,47,1023,1019,1014,10,6,3,18,8,32,0.00,2,,91<br />
2002-4-17,14,9,5,7,3,0,87,73,54,1014,1011,1009,6,5,3,21,14,26,0.00,6,Rain,87<br />
2002-4-18,7,3,0,4,1,-1,100,87,81,1015,1010,1007,5,3,1,32,21,50,0.00,6,Rain-Snow,44<br />
