
UYT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-20,23,21,19,17,14,11,83,64,45,1020,1019,1016,10,10,10,34,26,37,0.00,5,,150<br />
2015-1-21,24,18,12,15,13,11,94,64,46,1024,1022,1020,19,10,10,24,14,,0.00,2,,106<br />
2015-1-22,27,21,15,19,14,13,88,63,37,1023,1021,1018,19,12,10,32,14,47,0.00,2,,63<br />
2015-1-23,28,23,18,17,15,14,88,62,33,1021,1017,1013,19,11,10,27,18,,0.00,4,,66<br />
2015-1-24,27,23,19,19,18,16,83,71,48,1014,1013,1010,10,10,10,23,13,,0.00,4,,82<br />
2015-1-25,32,26,20,21,20,18,94,73,40,1011,1010,1009,10,9,3,24,11,,0.00,6,,352<br />
2015-1-26,31,27,22,23,22,20,94,79,55,1010,1009,1007,10,8,2,26,10,,0.00,6,Fog,82<br />
2015-1-27,35,29,23,23,20,2,89,68,25,1008,1007,1007,10,8,1,34,16,50,16.00,6,Rain-Thunderstorm,4<br />
2015-1-28,21,20,19,22,19,14,100,87,64,1012,1009,1006,10,7,1,37,16,55,3.05,8,Rain-Thunderstorm,128<br />
2015-1-29,23,20,18,15,13,10,73,61,42,1019,1016,1012,19,10,10,29,26,,0.00,2,,166<br />
2015-1-30,22,18,13,14,12,11,94,66,42,1022,1020,1019,19,10,10,23,10,,0.00,2,,114<br />
2015-1-31,26,20,14,18,14,12,88,66,34,1021,1019,1016,19,11,10,29,13,,0.00,2,,67<br />
2015-2-1,27,22,18,20,16,1,83,65,28,1017,1016,1014,10,10,10,27,19,,0.00,4,,60<br />
2015-2-2,26,23,19,22,19,17,89,77,67,1016,1015,1014,19,12,10,27,14,,0.00,1,,97<br />
2015-2-3,25,22,19,21,19,17,94,80,60,1016,1014,1011,10,9,8,26,13,42,0.00,3,,99<br />
2015-2-4,28,24,21,21,20,10,94,79,39,1012,1011,1008,10,10,10,27,16,37,0.00,3,,101<br />
2015-2-5,29,24,20,22,18,10,94,69,39,1012,1011,1009,10,10,10,23,16,,0.00,6,Thunderstorm,70<br />
2015-2-6,26,22,19,21,19,16,100,76,55,1012,1011,1010,10,10,10,29,16,,0.00,1,,76<br />
2015-2-7,27,22,17,20,17,15,94,72,41,1012,1011,1009,19,12,8,16,8,,0.00,1,,115<br />
2015-2-8,30,24,18,20,18,17,100,73,43,1011,1009,1006,10,10,10,19,10,,0.00,5,,47<br />
2015-2-9,30,26,21,23,19,17,94,68,49,1008,1006,1006,19,11,3,24,13,,0.00,8,Rain,64<br />
2015-2-10,25,23,21,21,18,13,88,69,47,1012,1010,1008,10,10,10,26,11,,0.00,7,,143<br />
2015-2-11,30,22,15,18,14,9,94,61,21,1015,1013,1011,10,10,10,23,10,,0.00,1,,323<br />
2015-2-12,32,24,16,19,15,13,94,56,23,1015,1011,1008,19,15,4,37,18,55,0.00,3,Rain,318<br />
2015-2-13,23,20,18,13,11,10,60,51,37,1020,1019,1016,10,10,10,37,24,55,0.00,1,,143<br />
2015-2-14,24,19,15,15,12,10,82,59,42,1022,1020,1017,10,10,10,29,14,,0.00,4,,101<br />
2015-2-15,26,21,17,19,15,12,83,63,50,1020,1019,1017,10,10,10,34,18,,0.00,6,,96<br />
2015-2-16,26,22,18,19,17,13,83,67,52,1019,1017,1014,10,10,10,32,18,47,0.00,4,,88<br />
2015-2-17,28,23,17,19,17,13,94,68,32,1017,1014,1010,10,10,10,26,13,,0.00,1,,70<br />
2015-2-18,31,24,17,20,18,16,88,68,40,1011,1007,1003,10,10,10,29,19,37,0.00,2,,47<br />
2015-2-19,21,19,18,19,17,12,100,82,60,1013,1007,1005,10,9,2,32,19,,3.05,7,Rain,180<br />
2015-2-20,23,21,18,18,15,12,94,70,58,1019,1015,1011,19,9,3,29,21,,0.00,6,Rain,156<br />
2015-2-21,24,21,18,19,17,13,88,72,60,1021,1020,1018,19,10,5,27,18,,0.25,7,Rain-Thunderstorm,106<br />
2015-2-22,29,23,18,20,18,16,94,73,39,1020,1018,1015,19,12,10,26,10,,0.00,2,,69<br />
2015-2-23,29,24,20,22,21,18,94,78,56,1017,1016,1014,19,11,10,19,10,,0.00,1,,61<br />
2015-2-24,32,26,20,23,21,14,94,75,27,1015,1014,1011,10,10,10,24,14,,0.00,,,28<br />
2015-2-25,27,23,21,22,21,18,94,81,68,1015,1014,1012,10,10,10,19,11,,0.00,7,,101<br />
2015-2-26,26,24,22,21,20,19,88,78,60,1015,1013,1010,10,10,10,26,18,,0.00,5,,121<br />
2015-2-27,25,21,18,20,16,11,88,69,47,1018,1013,1010,10,10,10,29,14,34,0.00,3,,166<br />
2015-2-28,23,17,11,16,12,7,88,60,32,1020,1018,1016,10,10,10,24,10,,0.00,2,,119<br />
2015-3-1,28,22,17,21,16,13,83,63,29,1017,1015,1011,10,10,10,26,18,,0.00,8,,55<br />
2015-3-2,31,24,18,20,18,15,94,67,37,1011,1010,1009,10,9,3,24,11,42,0.00,3,,329<br />
2015-3-3,29,24,19,23,19,1,100,80,25,1013,1011,1010,10,7,0,37,8,60,19.05,7,Rain-Thunderstorm,71<br />
2015-3-4,27,23,20,22,20,19,94,85,73,1012,1010,1007,19,10,3,24,14,,9.91,6,Rain,233<br />
2015-3-5,25,22,19,20,18,17,88,75,60,1015,1014,1012,19,11,10,21,13,,0.00,3,,154<br />
2015-3-6,28,21,15,21,18,15,100,79,44,1017,1015,1013,10,6,0,23,8,,0.00,1,Fog,78<br />
2015-3-7,29,23,16,21,18,15,94,71,40,1016,1015,1013,19,13,10,23,14,,0.00,1,,42<br />
2015-3-8,29,23,17,21,17,14,94,71,35,1015,1014,1014,10,10,10,24,13,,0.00,,,38<br />
2015-3-9,29,24,19,22,21,17,94,80,61,1017,1015,1014,10,10,7,35,14,,0.00,3,,92<br />
2015-3-10,28,23,19,22,21,18,94,80,66,1016,1015,1014,10,10,10,27,13,,0.00,2,,73<br />
2015-3-11,27,23,18,19,18,17,94,76,46,1016,1014,1012,10,10,10,24,11,,0.00,1,Fog,70<br />
2015-3-12,28,22,16,21,18,16,100,78,53,1013,1012,1010,19,9,3,19,8,,0.00,1,,46<br />
2015-3-13,32,24,17,19,17,13,94,67,23,1012,1010,1009,19,11,10,26,14,,0.00,,,22<br />
2015-3-14,30,24,18,22,19,16,94,78,40,1013,1011,1010,10,10,10,34,13,,0.00,6,,23<br />
2015-3-15,26,23,20,21,19,16,100,79,66,1016,1014,1013,10,10,10,24,13,,0.00,4,,146<br />
2015-3-16,26,20,14,19,16,13,100,73,40,1017,1016,1014,10,8,1,19,8,,0.00,1,Fog,109<br />
2015-3-17,30,23,17,21,18,14,94,71,36,1018,1017,1016,10,10,10,19,13,,0.00,,,38<br />
2015-3-18,28,22,16,20,17,12,88,71,37,1020,1017,1016,10,10,10,21,11,,0.00,,,24<br />
2015-3-19,28,22,16,21,17,15,94,72,39,1018,1016,1012,19,13,10,24,14,,0.00,,Fog,51<br />
2015-3-20,31,24,19,20,18,14,94,69,37,1012,1010,1007,19,10,8,45,16,64,0.00,6,,334<br />
2015-3-21,21,18,16,14,9,6,72,54,33,1018,1016,1013,19,11,10,35,27,53,0.00,4,,193<br />
2015-3-22,21,18,14,12,9,7,72,57,37,1021,1019,1018,10,10,10,27,19,,0.00,6,,171<br />
2015-3-23,21,16,12,12,9,8,82,60,38,1022,1021,1020,10,10,10,19,6,,0.00,4,,141<br />
2015-3-24,22,16,11,18,12,7,88,72,44,1023,1021,1020,10,10,10,16,3,,0.00,8,,121<br />
2015-3-25,18,16,14,17,16,12,100,89,68,1020,1019,1017,10,8,2,16,8,,6.10,7,Rain,166<br />
2015-3-26,21,18,15,12,12,10,72,62,49,1019,1017,1016,19,10,10,26,18,,0.00,4,,194<br />
2015-3-27,22,19,17,16,13,12,83,68,50,1021,1020,1018,19,11,10,24,13,,0.00,5,,173<br />
2015-3-28,22,16,9,16,13,10,100,80,43,1023,1021,1019,10,7,1,13,5,,0.00,1,Fog,121<br />
2015-3-29,28,21,14,19,15,12,94,71,29,1020,1016,1013,19,10,10,21,10,,0.00,4,,44<br />
2015-3-30,27,21,14,19,17,14,94,78,62,1014,1012,1011,19,14,10,14,10,,0.00,2,,46<br />
2015-3-31,23,19,16,19,16,13,94,77,60,1017,1013,1011,19,10,10,24,10,,0.00,5,,219<br />
2015-4-1,25,17,9,15,12,9,94,69,31,1017,1016,1014,19,10,3,11,5,,0.00,1,Fog,335<br />
2015-4-2,31,21,11,16,9,4,82,51,13,1016,1013,1010,19,16,10,19,10,35,0.00,,,357<br />
2015-4-3,32,22,13,16,11,8,72,49,19,1012,1010,1008,19,12,10,27,13,,0.00,,,336<br />
2015-4-4,23,20,17,20,18,13,94,84,55,1010,1009,1008,10,10,9,19,8,,0.25,7,Rain,143<br />
2015-4-5,23,20,16,20,16,9,94,73,53,1020,1014,1010,19,10,10,34,18,48,0.00,5,,160<br />
2015-4-6,21,18,15,12,10,8,72,57,38,1023,1021,1020,19,10,10,23,16,39,0.00,4,,150<br />
2015-4-7,22,16,9,13,11,8,94,68,36,1022,1020,1017,19,10,10,24,10,,0.00,2,,91<br />
2015-4-8,25,18,11,17,12,9,88,66,27,1019,1017,1016,19,15,10,23,11,,0.00,6,,40<br />
2015-4-9,28,21,14,18,14,12,100,72,32,1019,1017,1016,10,10,10,23,14,,0.00,,,29<br />
2015-4-10,29,21,14,19,15,11,85,64,39,1019,1017,1016,10,10,10,21,10,,0.00,4,,82<br />
2015-4-11,22,19,17,18,13,10,81,61,41,1020,1019,1017,19,12,10,23,16,,0.00,6,,125<br />
2015-4-12,22,16,8,14,11,8,87,59,33,1020,1019,1017,19,14,10,19,10,,0.00,,,86<br />
2015-4-13,30,22,14,18,13,10,78,61,28,1018,1016,1013,19,18,10,19,13,,0.00,,,28<br />
2015-4-14,27,21,15,19,15,11,94,70,42,1016,1014,1013,10,9,5,23,14,,0.76,8,Rain,39<br />
2015-4-15,24,21,18,19,17,13,94,79,64,1020,1017,1014,10,10,10,37,18,50,0.00,6,,116<br />
2015-4-16,26,22,17,15,13,12,73,59,31,1021,1018,1015,19,11,10,27,21,42,0.00,5,,78<br />
2015-4-17,21,17,14,16,14,9,100,80,45,1015,1011,1009,10,8,3,32,21,50,2.03,6,Rain-Thunderstorm,341<br />
2015-4-18,22,17,12,11,9,7,88,57,26,1012,1011,1010,10,9,3,39,19,55,0.00,1,,307<br />
2015-4-19,26,18,10,15,10,7,77,59,29,1010,1009,1007,19,14,10,23,11,,0.00,,,358<br />
2015-4-20,22,18,13,18,12,9,94,65,47,1016,1012,1009,19,15,10,21,13,,0.00,2,,174<br />
2015-4-21,21,14,9,13,11,8,94,74,47,1020,1019,1017,19,10,3,19,6,,0.00,1,,78<br />
2015-4-22,22,14,7,15,12,9,100,79,45,1022,1021,1020,19,12,9,14,5,,0.00,4,Fog,34<br />
2015-4-23,25,17,9,15,11,8,94,68,28,1022,1020,1018,10,10,10,19,10,,0.00,,Fog,5<br />
2015-4-24,25,17,9,12,9,6,88,60,24,1020,1019,1018,10,9,7,16,10,,0.00,,,343<br />
2015-4-25,27,20,12,12,11,9,82,58,23,1021,1019,1017,10,10,10,21,10,,0.00,,,327<br />
2015-4-26,28,19,11,16,12,8,88,64,24,1019,1018,1017,19,12,3,14,8,,0.00,,,9<br />
2015-4-27,24,18,12,19,13,9,94,71,38,1019,1018,1017,19,10,3,21,8,,0.00,5,Rain,106<br />
2015-4-28,21,19,16,18,14,11,88,73,53,1022,1021,1020,10,10,10,40,23,47,0.00,5,Rain,115<br />
2015-4-29,21,17,13,10,8,7,72,55,32,1024,1022,1020,10,10,10,34,16,52,3.05,8,Rain,66<br />
2015-4-30,19,16,13,14,13,10,94,79,64,1022,1020,1018,10,9,3,19,13,,1.02,8,Rain,47<br />
2015-5-1,23,18,13,13,12,11,88,68,39,1019,1016,1012,10,10,10,24,16,,0.00,,,38<br />
2015-5-2,19,17,15,18,15,11,100,87,55,1013,1005,1000,19,8,1,29,18,47,18.03,7,Rain-Thunderstorm,10<br />
2015-5-3,15,10,6,10,4,-1,82,55,25,1013,1009,1006,19,13,10,35,23,,0.00,4,,273<br />
2015-5-4,18,11,4,6,3,0,87,56,25,1017,1015,1012,10,10,10,24,14,,0.00,1,,318<br />
2015-5-5,21,13,6,12,7,4,87,63,33,1020,1018,1017,10,10,8,13,8,,0.00,2,,313<br />
2015-5-6,16,13,10,10,6,1,88,64,38,1025,1022,1019,10,10,9,32,14,,0.00,5,,174<br />
2015-5-7,15,13,11,8,6,3,77,58,41,1026,1025,1023,10,10,10,19,11,,0.00,5,,131<br />
2015-5-8,21,14,8,13,8,5,93,67,25,1025,1021,1017,19,11,10,21,10,,0.00,,,31<br />
2015-5-9,19,13,7,14,11,7,94,82,53,1019,1017,1016,10,8,3,16,3,,0.00,,Fog,110<br />
2015-5-10,17,13,10,16,14,12,96,91,84,1022,1020,1018,19,9,2,24,13,,0.00,5,Fog,131<br />
2015-5-11,19,16,13,15,14,12,94,84,65,1025,1023,1022,19,11,10,19,11,,0.00,3,,112<br />
2015-5-12,20,14,9,14,12,9,94,78,46,1026,1024,1022,10,10,10,24,11,,0.00,4,Fog,82<br />
2015-5-13,21,16,12,13,12,11,100,75,45,1024,1022,1020,10,9,3,23,13,,0.00,5,,41<br />
2015-5-14,23,17,11,17,14,10,100,83,61,1020,1018,1016,10,9,7,16,11,,0.00,6,Fog,34<br />
2015-5-15,30,21,12,17,14,12,100,73,35,1019,1017,1016,10,9,3,21,11,,0.00,,,6<br />
2015-5-16,27,20,13,17,15,13,94,72,48,1020,1018,1017,19,12,10,19,8,,0.00,2,,19<br />
2015-5-17,27,21,14,17,16,13,94,71,41,1021,1019,1018,19,13,10,21,11,,0.00,1,Fog,19<br />
2015-5-18,27,21,14,18,16,14,94,79,52,1023,1022,1021,10,10,10,16,10,,0.00,,,39<br />
2015-5-19,25,20,15,18,17,14,94,81,50,1023,1021,1020,10,7,3,16,10,,0.00,6,,31<br />
2015-5-20,27,20,13,17,16,14,94,76,39,1020,1018,1016,19,10,5,19,10,,0.00,,,19<br />
2015-5-21,28,21,15,17,16,14,94,73,36,1017,1016,1014,19,10,3,32,14,,0.00,6,,5<br />
2015-5-22,28,23,18,20,17,15,94,77,42,1016,1013,1010,10,9,3,21,11,,0.00,8,,9<br />
2015-5-23,20,18,16,19,17,11,100,88,68,1012,1008,1005,19,10,3,29,13,,7.11,7,Rain,210<br />
2015-5-24,17,13,9,11,8,4,76,62,38,1020,1017,1013,19,12,10,21,16,,0.00,4,,198<br />
2015-5-25,18,11,3,8,5,3,87,67,32,1021,1020,1019,10,9,5,16,6,,0.00,4,,325<br />
2015-5-26,17,11,5,12,8,4,100,74,56,1023,1022,1020,19,8,3,14,6,,0.25,8,Rain,71<br />
2015-5-27,18,16,14,14,12,10,82,76,66,1024,1022,1022,19,11,10,23,13,,0.00,6,,114<br />
2015-5-28,17,14,11,11,10,8,82,72,54,1023,1021,1020,10,10,10,16,11,,0.00,2,,119<br />
2015-5-29,18,11,4,13,9,-1,100,84,53,1021,1017,1016,10,6,0,13,3,,0.00,4,Fog,71<br />
2015-5-30,17,12,7,12,9,7,100,84,61,1016,1015,1013,10,6,1,16,6,,0.00,5,Fog,332<br />
2015-5-31,18,13,8,13,10,7,100,88,56,1019,1017,1015,10,4,0,13,6,,0.00,3,Fog,347<br />
2015-6-1,25,18,10,12,10,8,94,76,43,1020,1019,1017,10,8,3,24,13,,0.00,,,328<br />
2015-6-2,21,14,8,12,10,7,93,72,44,1018,1015,1010,10,10,10,23,14,40,0.00,6,,346<br />
2015-6-3,21,17,12,14,12,9,94,80,60,1016,1011,1010,10,9,3,34,18,50,0.00,5,,323<br />
2015-6-4,21,14,8,12,8,4,100,78,27,1020,1018,1016,10,3,0,16,5,,0.00,5,Fog,18<br />
2015-6-5,26,19,13,21,16,9,94,80,60,1017,1011,1005,10,10,10,24,13,,0.00,6,Thunderstorm,7<br />
2015-6-6,24,20,15,22,18,12,96,90,66,1010,1004,1001,10,6,1,24,13,42,2.03,7,Fog-Rain-Thunderstorm,263<br />
2015-6-7,19,14,10,11,8,3,94,70,25,1017,1014,1010,10,10,9,16,5,,0.00,,,308<br />
2015-6-8,17,12,8,11,8,5,100,74,32,1017,1016,1015,10,7,3,16,6,,0.00,,,87<br />
2015-6-9,15,13,11,14,12,6,100,89,71,1015,1011,1009,10,4,1,14,10,,0.25,8,Rain,97<br />
2015-6-10,15,11,6,14,6,1,100,70,31,1015,1013,1011,10,8,0,19,11,,0.00,5,Fog,249<br />
2015-6-11,14,9,5,6,2,-1,88,61,27,1021,1017,1015,10,10,9,34,13,60,0.00,1,,280<br />
2015-6-12,17,9,1,4,-1,-2,81,57,17,1021,1018,1015,10,10,10,24,10,,0.00,,,332<br />
2015-6-13,17,9,1,3,0,-3,81,56,23,1016,1013,1011,10,8,3,14,10,,0.00,,,350<br />
2015-6-14,15,10,5,8,4,-1,100,65,30,1013,1009,1007,19,10,3,40,14,55,0.00,3,Rain,296<br />
2015-6-15,15,9,3,3,0,-4,87,48,16,1015,1013,1012,10,9,3,39,21,64,0.00,1,,294<br />
2015-6-16,21,13,6,3,0,-3,61,42,14,1014,1012,1010,10,10,10,27,18,47,0.00,,,336<br />
2015-6-17,15,10,6,10,4,0,77,63,45,1022,1016,1012,10,10,10,42,16,40,0.00,4,,268<br />
2015-6-18,12,8,3,5,1,-1,76,56,38,1031,1027,1023,10,10,7,34,24,,0.00,3,,227<br />
2015-6-19,12,5,-2,1,-2,-6,93,61,19,1031,1029,1024,10,8,3,24,10,,0.00,,,2<br />
2015-6-20,14,8,1,3,0,-4,87,63,27,1023,1021,1018,10,10,10,23,14,,0.00,,,350<br />
2015-6-21,16,10,4,8,5,2,93,77,47,1021,1019,1017,10,6,1,10,6,,0.00,,Fog,327<br />
2015-6-22,12,8,4,8,3,0,100,72,38,1028,1022,1017,10,7,2,26,13,,0.00,6,Fog,246<br />
2015-6-23,12,9,6,4,2,2,76,63,49,1033,1031,1028,10,10,10,24,16,,0.00,4,,161<br />
2015-6-24,17,10,3,6,4,1,93,68,26,1033,1030,1028,10,8,3,24,11,,0.00,,,64<br />
2015-6-25,21,16,10,12,10,5,88,67,43,1028,1026,1024,10,10,10,24,18,,0.00,,,36<br />
2015-6-26,23,17,12,15,13,11,94,79,50,1027,1025,1024,10,9,3,29,19,,0.00,,,24<br />
2015-6-27,24,18,13,16,14,12,94,82,57,1024,1022,1019,10,10,10,19,11,,0.00,8,Rain,35<br />
2015-6-28,19,17,16,16,14,13,94,85,78,1019,1015,1012,10,9,3,27,11,47,2.03,7,Rain,352<br />
2015-6-29,17,16,14,16,14,12,94,90,74,1013,1011,1009,10,6,0,19,5,,0.00,7,Fog-Rain-Thunderstorm,359<br />
2015-6-30,16,13,10,15,11,9,100,89,63,1017,1011,1008,19,3,0,23,10,,0.00,7,Fog,275<br />
2015-7-1,12,11,9,9,7,4,88,74,57,1024,1022,1018,19,11,10,21,14,,0.00,3,,142<br />
2015-7-2,16,11,6,7,4,2,87,64,28,1023,1019,1014,10,10,10,14,8,,0.00,,,74<br />
2015-7-3,13,10,7,10,7,5,100,85,68,1018,1014,1011,19,6,0,29,8,48,5.08,6,Fog-Rain,221<br />
2015-7-4,12,8,4,6,4,2,93,70,44,1025,1022,1019,19,10,0,34,18,52,0.00,5,Fog-Rain,210<br />
2015-7-5,14,7,0,4,2,-1,93,74,36,1024,1021,1017,19,11,1,23,8,40,0.00,,Fog,25<br />
2015-7-6,16,8,0,9,7,4,94,80,35,1018,1017,1016,10,8,0,16,10,,0.00,,Fog,351<br />
2015-7-7,16,8,1,9,6,0,100,88,43,1022,1020,1018,10,2,0,11,2,,0.00,,Fog,120<br />
2015-7-8,17,9,1,9,4,1,100,77,30,1022,1019,1016,10,3,0,14,3,,0.00,,Fog,56<br />
2015-7-9,17,10,3,11,7,2,100,84,49,1017,1014,1013,10,4,0,13,5,,0.00,4,Fog,27<br />
2015-7-10,17,11,6,12,9,0,100,90,50,1018,1016,1013,9,2,0,14,6,,0.00,7,Fog,360<br />
2015-7-11,14,12,11,12,11,10,100,91,79,1018,1016,1013,10,5,1,106,14,,0.00,7,Fog-Rain,102<br />
2015-7-12,21,16,11,16,13,9,100,88,61,1014,1006,1000,19,6,1,23,11,,2.03,8,Fog-Rain-Thunderstorm,24<br />
2015-7-13,14,11,9,17,11,6,100,88,68,1011,1004,999,10,7,0,26,16,,0.00,7,Fog,225<br />
2015-7-14,13,9,5,6,4,-1,93,73,31,1021,1015,1010,10,9,8,23,10,,0.00,,Fog,294<br />
2015-7-15,14,6,-2,2,0,-5,93,65,18,1027,1024,1021,10,9,8,14,6,,0.00,,,346<br />
2015-7-16,13,7,0,5,-1,-4,81,57,25,1028,1026,1025,10,9,3,14,8,,0.00,,,33<br />
2015-7-17,18,10,2,9,5,-2,93,70,46,1026,1024,1020,10,7,2,16,6,,0.00,1,Fog,54<br />
2015-7-18,17,13,9,12,10,8,100,85,67,1021,1017,1014,10,8,1,16,11,,0.00,6,Fog,31<br />
2015-7-19,17,12,8,12,10,7,94,84,59,1017,1013,1011,10,8,3,21,10,,0.00,6,,188<br />
2015-7-20,12,10,8,7,4,2,82,65,43,1026,1023,1018,19,11,10,40,21,50,0.00,5,,173<br />
2015-7-21,11,6,1,3,2,-1,87,67,42,1027,1025,1023,19,9,3,14,8,,0.00,3,,166<br />
2015-7-22,16,8,1,8,2,-3,93,73,18,1025,1024,1023,10,6,1,21,5,,0.00,,,26<br />
2015-7-23,17,9,2,9,5,1,100,75,39,1026,1025,1023,10,7,0,14,3,,0.00,,Fog,60<br />
2015-7-24,17,10,3,12,8,3,100,88,52,1026,1025,1024,10,4,0,19,5,,0.00,4,Fog,109<br />
2015-7-25,22,16,8,12,10,7,100,81,33,1026,1025,1023,10,5,0,26,8,,0.00,6,Fog,57<br />
2015-7-26,21,14,7,10,8,7,94,70,32,1024,1021,1019,19,14,10,26,13,,0.00,6,Fog,43<br />
2015-7-27,22,16,9,12,11,9,100,74,38,1019,1016,1013,10,10,10,27,16,,0.00,3,,30<br />
2015-7-28,26,18,11,16,13,11,94,73,44,1014,1011,1009,10,10,10,24,14,,0.00,7,Thunderstorm,10<br />
2015-7-29,18,15,12,17,14,12,100,92,77,1021,1016,1011,10,4,0,145,13,,0.00,8,Fog,141<br />
2015-7-30,18,14,11,16,14,11,100,91,74,1021,1019,1014,10,8,2,27,18,,8.89,7,Fog-Rain-Thunderstorm,93<br />
2015-7-31,20,17,14,16,14,10,90,83,68,1016,1007,1002,19,8,1,37,29,80,7.11,7,Rain-Thunderstorm,327<br />
2015-8-1,16,11,6,12,9,7,100,84,59,1020,1016,1010,19,8,1,34,13,40,13.97,6,Fog-Rain-Thunderstorm,57<br />
2015-8-2,18,14,10,16,13,9,100,92,81,1011,1008,1006,10,6,0,29,14,,0.00,8,Fog-Rain-Thunderstorm,186<br />
2015-8-3,19,14,10,12,9,-3,100,81,14,1020,1015,1011,10,2,0,21,6,,0.00,6,Fog,198<br />
2015-8-4,16,11,6,10,7,3,94,73,48,1023,1021,1020,10,10,10,27,11,37,0.00,2,,111<br />
2015-8-5,20,14,8,14,11,1,94,74,47,1021,1015,1008,19,10,10,45,14,63,4.06,6,,75<br />
2015-8-6,20,18,16,18,16,13,94,89,71,1008,1001,995,19,6,1,47,26,69,11.94,8,Rain-Thunderstorm,35<br />
2015-8-7,18,16,14,18,16,13,100,93,78,1011,1002,995,10,6,0,50,18,84,4.06,8,Fog-Rain-Thunderstorm,161<br />
2015-8-8,24,18,13,19,16,13,100,92,73,1014,1010,1005,10,3,0,24,19,,0.00,8,Fog-Rain-Thunderstorm,110<br />
2015-8-9,31,24,17,21,17,14,94,65,29,1007,1004,1003,19,11,8,32,21,47,0.00,7,Fog,11<br />
2015-8-10,17,14,11,16,13,9,100,91,76,1021,1009,1003,10,5,0,34,14,60,0.25,7,Fog-Rain,231<br />
2015-8-11,14,11,7,12,9,8,100,88,71,1024,1023,1021,10,6,0,21,6,,0.00,6,Fog-Rain,134<br />
2015-8-12,14,13,12,13,12,11,100,95,89,1024,1021,1019,10,3,1,37,23,53,30.99,8,Rain,137<br />
2015-8-13,15,14,13,14,13,13,100,94,87,1020,1016,1014,10,5,1,37,24,60,1.02,8,Rain,145<br />
2015-8-14,13,12,11,13,12,9,100,94,79,1018,1016,1014,10,4,1,10,5,,6.10,8,Rain,229<br />
2015-8-15,14,12,8,12,8,5,100,80,47,1021,1017,1013,19,8,2,21,10,,0.00,6,Rain,249<br />
2015-8-16,16,11,6,11,8,4,93,79,51,1026,1024,1022,19,9,3,16,8,,0.00,8,,47<br />
